name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
ABCB,45.10,44.30,"109,887","205,951",47.70,24.96,"1,574,958,477 ",1.21,0.1,0.23
ABDC,12.64,12.5135,"48,840","51,713",13.47,8.87,"170,116,920 ",0,0.34,2.7
ACRE,14.06,13.77,"113,346","160,598",14.39,8.91,"394,201,343 ",0.5,0.26,1.88
AGNC,18.23,18.03,"2,316,247","3,841,025",20.43,15.69,"5,988,623,533 ",0.47,0.18,1.0
AGU,103.61,100.78,"218,253","639,806",109.73,79.94,"14,229,302,692 ",1.24,0.875,0.85
AHP,14.02,13.6013,"114,552","181,055",17.64,8.37,"354,739,805 ",0.65,0.12,0.88
AHT,7.845,7.73,"526,453","608,737",7.91,4.15,"746,346,557 ",1.71,0.12,1.55
AI,15.72,15.57,"633,637","273,431",17.13,9.42,"361,833,113 ",0.71,0.625,3.98
AKR,32.2901,32.04,"203,904","500,822",38.01,30.25,"2,598,949,805 ",0.96,0.41,1.28
ALCO,28.55,28.05,"5,551","6,917",38.98,20.99,"237,671,527 ",1.42,0.06,0.22
ANH,5.40,5.33,"749,529","629,652",5.39,3.66,"511,107,997 ",0.57,0.15,2.81
AQN,8.9113,8.60,"29,192","26,137",8.67,7.94,"2,439,079,265 ",0.2,0.106,1.2
ARE,110.85,109.18,"258,349","544,471",114.67,70.69,"8,706,170,085 ",1.14,0.83,0.76
ARI,17.075,16.99,"1,205,437","1,099,962",18.10,13.80,"1,375,218,458 ",0.18,0.46,2.71
ATNI,84.07,81.62,"52,892","57,997",83.266,62.70,"1,345,064,013 ",0.77,0.34,0.41
AUY,2.71,2.60,"9,723,148","18,864,665",5.99,1.38,"2,530,090,390 ",0.52,0.005,0.19
AVAL,8,7.80,"52,818","146,417",9.04,5.59,"8,867,844,822 ",1.28,0.033,0.42
AVB,176.90,173.81,"648,013","820,651",192.29,158.32,"24,144,635,694 ",-0.2,1.35,0.77
AXS,66.23,65.64,"184,835","469,888",66.08,51.01,"5,817,033,898 ",0.01,0.38,0.58
BANF,94.45,93.1001,"30,884","39,672",94.225,51.14,"1,476,588,002 ",1.56,0.38,0.41
