name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
BBGI,6.60,6.25,"4,686","6,001",7.70,3.05,"181,281,776 ",0.72,0.045,0.72
BBOX,16.20,15.50,"24,701","95,916",17.05,6.51,"240,102,188 ",1.43,0.12,0.76
BEN,40.74,40.11,"1,069,848","3,022,919",42.18,30.56,"22,928,549,786 ",2.05,0.2,0.5
BGS,44.60,44.20,"437,673","655,661",52.84,31.814,"2,948,440,342 ",1.12,0.465,1.05
BKSC,22.85,22.4247,"1,628","2,316",23.966,14.05,"112,588,362 ",0.56,0.14,0.62
BLW,15.375,15.2825,"133,667","110,212",15.8364,13.31,"567,443,000 ",0,0.331,2.16
BOOM,15.70,15.11,"11,968","59,203",17.1864,4.8406,"224,475,046 ",0.66,0.02,0.13
BOXC,19.41,19.41,227,"1,479",24.3465,16.22,"512,391,566 ",0.12,0.081,0.42
BT,23.31,23.08,"391,170","539,251",36.04,21.61,"46,100,431,587 ",0.67,0.275,1.19
BTZ,12.7601,12.66,"242,144","258,282",13.70,11.60,"1,379,205,049 ",0,0.071,0.56
BXMT,30.84,30.50,"923,486","624,131",31.35,22.13,"2,886,891,584 ",0.44,0.62,2.02
BXP,124.99,123.30,"467,125","859,602",144.02,107.28,"19,106,352,405 ",1.01,0.75,0.61
CB,133.46,132.46,"968,434","1,520,778",133.89,106.82,"61,741,198,289 ",0.51,0.69,0.53
CBL,11.89,11.57,"1,645,746","2,626,409",14.30,8.86,"1,998,287,788 ",1.41,0.265,2.27
CCE,32.29,31.91,"632,702","2,103,335",41.285,30.55,"15,398,233,586 ",0.65,0.177,0.56
CCJ,10.66,10.41,"2,243,499","2,633,585",13.59,7.41,"4,167,695,257 ",0.66,0.074,0.71
CCU,20.47,20.31,"90,572","279,613",24.17,18.78,"3,772,624,323 ",0.6,0.122,0.6
CHMI,18.80,18.65,"78,281","39,524",18.95,12.60,"141,401,289 ",0.28,0.64,3.41
CHSP,26.3199,25.97,"264,324","434,232",27.18,20.81,"1,569,275,204 ",1.02,0.4,1.54
CIGI,36.95,36.05,"20,575","28,659",46.54,30.76,"1,351,529,304 ",0.17,0.05,0.14
CIM,17.72,17.45,"1,966,468","1,605,741",17.70,10.89,"3,298,413,254 ",0.37,0.5,2.85
CLDT,20.9156,20.71,"253,868","238,624",24.80,16.12,"798,326,081 ",1.1,0.11,0.53
CLNY,20.955,20.645,"1,105,337","1,263,231",21.065,14.73,"2,361,386,183 ",0.73,0.4,1.93
CMO,10.54,10.43,"351,447","681,917",10.58,7.48,"1,004,044,637 ",0.4,0.23,2.2
CONE,44.914,44.26,"544,961","1,405,583",N/A,N/A,"3,724,400,217 ",1.12,0.38,0.86
COR,80.36,79.12,"306,542","498,249",91.91,54.2325,"2,683,479,421 ",0.79,0.8,1.02
CP,144.25,143.12,"565,271","736,862",157.34,97.09,"20,965,764,713 ",1.05,0.372,0.26
CPG,13.57,13.41,"302,648","995,849",18.95,7.82,"7,330,280,637 ",1.14,0.022,0.17
CPHC,10.3564,10.05,"1,664","1,947",11.206,9.43,"44,759,325 ",0.26,0.05,0.49
CRT,18.29,17.842,"16,686","16,905",N/A,N/A,"108,780,000 ",0.73,0.091,0.51
CSAL,26.84,26.40,"1,071,599","1,268,226",32.73,15.13,"4,125,306,225 ",1.37,0.6,2.27
CSQ,10.42,10.36,"359,485","314,567",10.68,7.92,"1,600,765,040 ",0,0.083,0.81
CVA,15.85,15.60,"824,300","1,173,576",17.75,12.48,"2,047,520,053 ",1.68,0.25,1.6
CWCO,11.05,10.80,"61,195","91,964",14.69,9.80,"163,746,624 ",0.1,0.075,0.68
DDS,64.22,61.65,"599,966","516,049",88.58,54.37,"2,104,368,158 ",1.28,0.07,0.12
DE,104.12,103.11,"1,752,689","3,333,090",104.83,70.16,"32,923,066,465 ",0.51,0.6,0.58
DEI,35.95,35.66,"434,556","736,372",39.25,24.73,"5,420,120,432 ",0.88,0.23,0.65
DFT,44.27,43.54,"361,884","843,359",48.965,28.83,"3,336,327,387 ",0.98,0.5,1.14
DHF,3.35,3.30,"583,406","234,705",3.60,2.70,"240,662,447 ",0,0.026,0.79
DHR,79.33,78.78,"2,201,634","3,329,954",102.79,75.71,"54,519,960,941 ",1,0.125,0.16
DNP,10.49,10.34,"442,796","304,162",10.95,8.38,"2,922,108,127 ",0,0.065,0.63
DOX,59.66,59.19,"276,648","756,708",61.33,50.055,"8,727,940,987 ",0.4,0.195,0.33
DRH,11.61,11.46,"1,460,474","3,021,506",11.61,7.28,"2,299,623,616 ",1.1,0.125,1.09
DVCR,10.9199,10.2613,345,"8,728",12.82,6.41,"69,455,969 ",-0.73,0.055,0.51
DX,7.09,7.03,"318,395","253,635",7.61,5.22,"345,527,481 ",0.74,0.21,2.99
EARN,13.4777,13.22,"73,326","43,048",14.43,9.572,"122,484,863 ",0.67,0.4,2.99
ECC,17.5662,17.35,"123,029","39,357",19.15,13.30,"267,479,289 ",0,0.6,3.44
EEA,7.67,7.64,"6,486","21,619",8.23,6.95,"65,058,474 ",0,0.055,0.72
EIX,72.08,71.49,"841,525","1,672,216",78.72,57.97,"23,438,858,160 ",0.74,0.543,0.76
ELS,71.01,70.21,"429,882","427,298",83.19,62.22,"6,019,961,430 ",0.16,0.425,0.61
ENSG,23.01,22.23,"101,559","270,921",23.86,17.60,"1,148,476,712 ",1.84,0.043,0.19
EPR,70.99,70.53,"163,988","369,912",N/A,N/A,"4,503,482,909 ",0.71,0.32,0.46
ERF,9.51,9.30,"559,030","1,181,609",10.33,1.84,"2,279,778,167 ",1.15,0.007,0.08
ERS,6.86,6.74,"16,262","11,168",6.9789,3.02,"57,141,420 ",-0.06,0.04,0.59
ESS,232.11,229.04,"235,772","410,223",244.71,191.25,"15,022,491,066 ",-0.27,1.6,0.7
FBNC,28.13,27.77,"121,603","117,509",28.49,17.15,"582,071,224 ",1.33,0.08,0.29
FCPT,20.135,19.75,"270,187","418,246",24.44,14.09,"1,189,983,442 ",0.52,0.243,1.23
FITB,27.82,27.63,"2,416,194","8,225,244",27.875,13.84,"20,939,248,854 ",1.42,0.14,0.51
FLS,49.595,48.92,"974,287","1,183,933",52.50,33.86,"6,449,550,687 ",1.39,0.19,0.39
FMC,57.42,56.78,"821,539","960,231",N/A,N/A,"7,671,639,729 ",0.83,0.165,0.29
FORTY,40.96,40.25,"1,793",754,42.95,23.5401,"603,143,623 ",0.34,0.34,0.84
FPI,11.25,11.10,"235,931","180,882",11.98,9.54,"193,989,166 ",0.96,0.127,1.14
FR,27.7758,27.55,"282,961","846,923",29.7501,18.89,"3,231,615,952 ",1.07,0.19,0.69
FSAM,7.60,7.50,"16,187","60,372",7.75,1.31,"375,890,133 ",1.75,0.125,1.65
FSV,47.87,46.99,"22,753","48,611",53.15,32.71,"1,642,694,593 ",0.56,0.11,0.24
FT,6.6994,6.66,"42,321","47,357",7.05,5.13,"167,378,414 ",0,0.032,0.49
GF,13.73,13.60,"38,880","27,464",15.37,12.02,"217,612,501 ",0,0.442,3.25
GPT,9.11,9.01,"1,460,569","3,466,596",10.03,6.50,"3,823,130,610 ",1.08,0.125,1.38
GRP.U,33.3999,33.19,"2,167","10,260",34.45,24.79,"1,569,884,750 ",0,0.161,0.49
GSBD,23.70,23.35,"87,831","148,322",23.809,16.66,"859,243,806 ",0,0.45,1.91
GVA,56.87,56.20,"149,493","333,189",62.18,35.685,"2,246,714,043 ",1.79,0.13,0.23
HGT,2.1817,2.05,"239,131","118,205",2.75,0.9801,"84,000,000 ",0.84,0.006,0.29
HIFR,17.77,17.61,"82,988","240,768",21.69,13.61,"776,467,080 ",0.71,0.25,1.41
HST,19.10,18.85,"3,450,287","10,222,975",19.51,12.17,"14,027,843,718 ",1.16,0.25,1.32
HYT,10.71,10.65,"380,950","395,141",10.98,9.125,"1,354,616,448 ",0,0.121,1.14
IBKC,87.20,85.90,"293,996","498,159",91.10,42.20,"3,869,034,392 ",1.55,0.36,0.42
IHC,20.25,19.85,"4,664","10,770",21.226,13.16,"342,210,894 ",0.81,0.06,0.3
IHD,7.64,7.57,"56,898","83,635",8.37,6.28,"148,698,023 ",0,0.185,2.44
INBK,31,29,"61,000","39,522",30.50,22.01,"200,819,550 ",0.78,0.06,0.2
INGR,126.39,125.26,"361,274","567,150",N/A,N/A,"9,109,619,640 ",0.74,0.5,0.4
IPAR,34.15,33.75,"45,276","81,618",36.40,20.3676,"1,051,369,449 ",0.77,0.17,0.51
ITW,125.54,124.78,"498,203","1,558,046",127.99,79.15,"43,949,303,996 ",0.99,0.65,0.52
JMP,6.2453,6.09,"19,286","28,657",6.48,4.95,"130,410,566 ",0.39,0.03,0.49
JOY,28.08,28.04,"313,472","1,237,854",28.55,8.35,"2,769,884,401 ",0.09,0.01,0.04
KRC,73.99,73.13,"692,462","700,360",77.54,46.76,"6,758,960,039 ",0.7,2.275,3.11
KS,22.76,22.4219,"270,232","1,323,206",23.35,8.95,"2,186,676,727 ",0.92,0.1,0.45
KSU,86.38,85.23,"667,046","1,664,420",100.6899,62.20,"9,269,011,551 ",0.13,0.33,0.39
KW,20.85,20.55,"189,056","435,682",24.50,15.735,"2,346,461,996 ",0.88,0.14,0.68
LECO,79,78.28,"130,710","495,023",80.57,45.54,"5,204,438,648 ",1.06,0.35,0.45
LHO,31.15,30.68,"895,157","1,696,303",31.12,19.0089,"3,680,992,863 ",1.27,0.45,1.46
LII,158.13,156.68,"143,225","375,215",164.565,105.65,"6,780,028,973 ",0.72,0.43,0.28
LOAN,7.35,7,"32,430","52,628",7.60,3.80,"58,979,011 ",0.85,0.1,1.38
LXP,10.72,10.64,"620,510","1,213,571",11.02,6.52,"2,536,879,703 ",1.4,0.175,1.64
MAIN,37.57,37.20,"337,054","266,661",37.51,24.21,"1,980,369,766 ",0.63,0.185,0.5
MCI,15.17,14.87,"54,620","19,691",19.76,14.52,"298,833,462 ",0,0.3,1.99
MDLZ,45.29,44.93,"5,965,024","9,422,379",46.40,35.88,"69,560,303,283 ",1.26,0.19,0.43
MELI,160.71,156.10,"332,368","729,081",193.58,84.194,"6,998,938,549 ",1.41,0.15,0.1
MGP,25.65,25.04,"359,843","697,820",27.89,21.75,"1,444,400,025 ",0.77,0.387,1.55
MKC,93.63,92.87,"352,545","671,369",107.84,78.45,"11,731,046,311 ",0.79,0.47,0.51
MKC.V,93,92,"7,885",813,108.26,79.01,"11,698,267,461 ",0.56,0.47,0.51
MORE,10.69,10.59,"876,625","984,641",10.90,7.67,"1,775,119,559 ",0.31,0.075,0.71
MPWR,85.73,84.41,"161,774","328,635",88.085,55.05,"3,458,091,322 ",1.58,0.2,0.24
MTGE,16.25,15.65,"664,694","318,714",17.77,12.01,"728,183,223 ",0.24,0.4,2.52
MTR,12,10.75,"30,459","9,178",12.85,5.64,"20,313,131 ",-0.38,0.107,0.99
MVC,8.74,8.62,"29,028","30,503",8.86,6.76,"197,514,543 ",-0.08,0.135,1.56
NAUH,2.11,2.0231,"10,336","9,475",2.40,1.20,"49,774,478 ",-0.42,0.045,2.19
NDRO,3.80,3.60,"138,406","58,585",4.55,1.77,"123,750,000 ",-0.06,0.014,0.38
NFG,58.22,57.48,"142,305","421,740",59.622,39.79,"4,925,755,736 ",1.41,0.405,0.71
NHI,73.46,72.83,"81,511","255,464",82.53,54.51,"2,917,660,309 ",0.61,0.9,1.23
NLY,10.33,10.14,"8,764,233","7,562,716",11.29,8.25,"10,412,849,795 ",0.33,0.3,2.94
NRCIA,18.30,16.60,"2,642","14,851",N/A,N/A,"$380,380",1.36,0.1,0.55
NRCIB,41.80,41,"1,501","1,229",46.372,32.18,"$147,765.93",0.59,0.6,1.44
NRZ,16.30,16.07,"2,671,730","2,513,166",16.43,9.07,"4,029,923,990 ",0.84,0.46,2.87
NTP,7.50,7.15,"59,363","158,578",9.59,4.80,"262,401,940 ",0.44,0.07,0.98
NUE,62.38,61.77,"1,439,614","3,074,632",N/A,N/A,"19,704,676,725 ",1.87,0.377,0.61
OFC,31.155,30.90,"825,941","975,454",31.51,19.52,"2,936,664,804 ",0.85,0.275,0.89
OFG,13.85,13.50,"254,377","342,752",14.475,4.56,"599,422,264 ",0.77,0.06,0.44
OHAI,1.78,1.71,"85,936","45,183",4.43,1.70,"35,301,686 ",0,0.06,3.43
OR,9.25,9.01,"144,990","173,670",14.74,8.88,"982,032,837 ",0.15,0.03,0.33
ORC,11.116,10.96,"764,225","475,089",11.25,7.50,"354,478,431 ",0.07,0.14,1.27
PBA,31.689,31.38,"114,704","170,502",32.31,17.875,"12,488,767,743 ",0.96,0.119,0.38
PBT,8.15,8.0201,"73,111","119,370",8.50,4.20,"377,065,160 ",0.18,0.059,0.73
PCG,61.34,60.66,"909,350","2,588,449",65.43,50.65,"30,936,688,339 ",0.6,0.49,0.81
PEB,30.4825,30.09,"337,599","1,042,059",31.85,20.51,"2,171,852,081 ",1.34,0.38,1.27
PEGA,36.80,36.20,"165,400","412,496",37.10,20.38,"2,778,334,650 ",0.75,0.03,0.09
PEGI,19.38,19.1387,"564,866","886,318",25.13,14.56,"1,690,918,297 ",-0.04,0.408,2.12
PGRE,15.85,15.70,"324,135","823,318",18.28,14.23,"3,480,299,307 ",0.48,0.095,0.61
PMT,16.82,16.61,"304,314","489,637",17.38,10.91,"1,109,175,866 ",0.49,0.47,2.83
PRIM,24.4999,23.861,"206,541","249,642",25.25,16.1278,"1,256,285,711 ",2.17,0.055,0.23
PSEC,8.50,8.40,"2,739,818","2,022,627",8.68,5.21,"3,046,137,376 ",0,0.083,0.98
RBC,71.20,70.10,"505,155","256,521",75.60,47.765,"3,160,163,241 ",1.77,0.24,0.34
RESI,11.69,11.40,"287,106","567,521",13.78,7.81,"624,887,847 ",1.93,0.15,1.3
REXR,23.27,23.01,"250,147","340,581",23.60,15.14,"1,528,171,778 ",0.91,0.135,0.59
RFIL,1.945,1.65,"28,187","19,920",4.50,1.40,"15,903,869 ",0.65,0.02,1.12
RHP,63.39,62.52,"209,158","326,124",64.085,41.50,"3,223,071,920 ",0.78,0.75,1.19
RL,91.12,89.62,"954,650","786,534",115.85,82.15,"7,405,873,926 ",1.21,0.5,0.56
RLJ,24.80,24.495,"507,298","1,000,213",25.10,16.15,"3,068,921,151 ",0.95,0.33,1.34
RSO,8.32,8.15,"536,413","346,724",13.746,7.57,"257,200,025 ",1.34,0.05,0.61
SBY,17.32,16.95,"98,371","252,651",19.41,12.03,"601,814,378 ",0.54,0.13,0.77
SCM,12.31,12.18,"78,991","63,081",12.75,7.15,"152,255,475 ",0.29,0.113,0.93
SFR,28.84,28.41,"389,421","833,216",33.09,19.54,"2,887,467,116 ",0.41,0.22,0.78
SHO,15.79,15.61,"1,890,618","2,310,337",16.05,9.525,"3,386,202,215 ",1.13,0.53,3.39
SJT,6.80,6.68,"143,894","158,713",7.67,4.12,"314,143,285 ",0.18,0.063,0.94
SKYW,39.545,39,"265,948","375,479",39.60,13.23,"2,020,514,322 ",1.68,0.05,0.13
SLD,13.625,13.45,"65,393","81,372",N/A,N/A,"413,570,986 ",0.49,0.35,2.59
SMRT,5.65,5.39,"518,904","345,601",9.23,4.92,"257,934,787 ",0.31,0.075,1.37
SNHY,40.60,39.73,"39,844","78,643",N/A,N/A,"1,086,429,659 ",2.13,0.09,0.23
SRC,10.714,10.57,"2,060,271","5,234,693",13.97,8.895,"5,130,638,878 ",0.51,0.18,1.7
SRG,44.60,42.68,"735,833","266,924",57.31,36.28,"2,428,969,154 ",0.55,0.25,0.58
STAG,23.67,23.40,"457,763","609,704",25.51,14.97,"1,778,596,605 ",1.11,0.116,0.5
STB,5.7493,5.56,"134,061","123,154",6.08,3.02,"528,873,042 ",0.4,0.037,0.67
STLD,37.29,36.985,"1,317,793","4,292,421",40.17,15.32,"9,038,230,799 ",1.4,0.14,0.38
STN,25.5519,25.35,"2,387","17,357",27.70,20.71,"2,896,254,304 ",1.25,0.084,0.34
STOR,24.39,24.101,"686,118","1,168,137",31.44,22.005,"3,770,969,569 ",0.53,0.29,1.2
STWD,22.53,22.26,"2,217,015","2,439,152",23.46,16.69,"5,777,048,771 ",0.5,0.48,2.16
SUI,75.47,74.45,"110,440","440,781",85.98,62.58,"5,471,875,945 ",0.2,0.65,0.87
SYK,121.50,120.67,"443,567","1,412,117",123.55,86.68,"45,252,490,120 ",0.84,0.425,0.36
TOWN,33.80,32.95,"146,680","260,868",34.55,16.50,"2,099,353,205 ",1.27,0.13,0.39
TRNO,28.3205,27.98,"139,946","220,015",29.08,20.44,"1,307,055,608 ",1,0.2,0.72
TRP,46.17,45.79,"362,293","991,713",48.52,28.40,"39,833,764,443 ",1.31,0.42,0.92
TSI,5.35,5.33,"37,753","92,461",5.45,5.0599,"254,648,350 ",0,0.06,1.13
TSLX,19.09,18.7145,"168,355","150,176",19.20,15.11,"1,127,441,950 ",0,0.39,2.07
TWI,11.83,11.41,"568,189","494,180",12.14,2.50,"636,784,156 ",2.01,0.005,0.05
TWO,9.10,8.88,"2,983,388","2,325,993",9.175,6.905,"3,128,793,453 ",0.47,0.24,2.67
TYPE,19.90,19.40,"146,371","249,274",25.37,17.31,"815,884,927 ",1.27,0.11,0.57
UMPQ,19.205,18.80,"891,898","1,832,548",19.295,13.455,"4,221,393,284 ",1.4,0.16,0.84
USB,52.39,52.20,"3,135,809","7,417,702",52.68,37.07,"88,910,071,176 ",1,0.28,0.54
VER,8.46,8.36,"2,422,370","7,269,024",11.09,6.68,"8,183,063,078 ",1.01,0.138,1.65
VMI,145.925,144.15,"60,511","133,032",156.05,96.50,"3,269,728,996 ",1.42,0.375,0.26
WASH,57.15,56.6045,"19,712","55,195",57.90,34.59,"975,927,039 ",1.33,0.37,0.65
WDC,70.48,69.55,"2,102,494","4,525,114",72.01,34.99,"20,031,703,984 ",1.82,0.5,0.72
WHLR,1.71,1.67,"163,468","139,840",1.95,1.10,"113,501,410 ",1.07,0.018,1.08
WIN,7.96,7.65,"1,662,447","1,890,296",10.455,4.75,"746,810,854 ",1.32,0.15,1.94
WLTW,124.90,124.01,"382,911","780,213",133.40,104.11,"16,994,843,711 ",1.09,0.48,0.39
WPC,59.50,58.92,"336,915","357,036",72.89,51.115,"6,297,124,069 ",0.75,0.99,1.68
WWW,22.19,21.93,"448,860","875,087",25.54,14.74,"2,166,582,669 ",1.07,0.06,0.28
XHR,19.48,19.30,"213,698","482,693",19.87,12.1001,"2,069,444,376 ",1.24,0.275,1.43
XRAY,59.81,58.965,"635,112","1,609,616",65.83,53.43,"13,638,109,363 ",0.71,0.078,0.14
YORW,39.45,38.75,"20,630","37,920",39.85,23.79,"502,095,534 ",1.23,0.16,0.41
ZBH,103.39,101.98,"1,146,546","1,676,667",133.21,88.27,"20,658,897,237 ",1.42,0.24,0.24
