name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
PFE,33.70,33.34,"17,474,593","24,071,281",37.39,28.25,"203,168,529,819 ",0,0.32,0.96
WSR,14.1005,13.93,"107,426","152,204",16.30,9.44,"407,785,677 ",1.38,0.095,0.69
