name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
ABBV,64.50,63.77,"1,159,033","7,364,255",68.1239,50.71,"104,120,093,699 ",1.51,0.64,1.0
ABT,41.08,40.78,"1,385,006","8,889,249",N/A,N/A,"70,670,628,000 ",1.05,0.265,0.65
AFG,87.33,86.83,"17,719","283,745",89.22,64.87,"7,574,264,159 ",0.55,0.313,0.36
ALG,77.64,76.80,"4,697","53,167",79.59,48.26,"891,958,796 ",1.5,0.1,0.13
AP,15.30,15.25,"1,253","28,821",19.22,8.88,"187,740,501 ",1.94,0.09,0.59
AVK,15.35,15.28,"17,011","77,758",15.39,10.92,"360,787,418 ",0,0.094,0.62
BELFA,N/A,N/A,0,"2,970",26.97,9.69,"311,346,685 ",1.34,0.06,0.23
BELFB,32.75,32.45,"5,459","54,661",33.60,13.31,"389,034,186 ",1.48,0.07,0.22
BKE,23.225,22.60,"157,183","491,279",35.02,19.95,"1,116,622,143 ",1.57,1,4.36
BKU,37.05,36.5527,"107,161","933,940",38.55,27.85,"3,837,595,666 ",1.63,0.21,0.57
BPT,30.45,29.55,"122,972","194,438",33.33,11.29,"645,210,000 ",1.45,0.994,3.3
BSD,13.83,13.82,"1,840","22,526",15.98,13.12,"100,974,545 ",0,0.065,0.48
BTA,11.48,11.44,"15,770","46,286",13.44,10.73,"153,818,951 ",0,0.054,0.48
CBRL,158.88,157.85,"112,774","343,103",175.04,118.01,"3,805,693,023 ",0.78,1.15,0.73
CHCO,65.97,65.01,"11,971","59,287",69.09,40.74,"988,225,503 ",1.2,0.43,0.66
CIO,12.65,12.40,"696,022","98,570",13.93,10.65,"305,509,292 ",0.98,0.235,1.88
CNSL,26.20,25.96,"44,420","419,273",30.23,17.76,"1,321,082,113 ",1.39,0.387,1.49
CUZ,8.42,8.30,"184,370","4,165,759",11.40,7.09,"3,310,321,883 ",1.11,0.06,0.72
DBL,23.24,23.16,"19,107","119,313",27.75,22.52,"344,413,265 ",0,0.167,0.73
EDI,14.34,14.22,"9,144","76,589",15.70,9.31,"136,795,181 ",0,0.151,1.07
FCH,7.99,7.88,"52,986","1,288,154",8.44,5.47,"1,096,796,102 ",1.42,0.06,0.76
FL,71.02,70.53,"320,430","1,764,104",79.43,50.90,"9,370,115,448 ",1.14,0.275,0.39
FSC,5.6734,5.62,"146,544","954,461",6.32,4.40,"806,546,960 ",1.48,0.06,1.07
FSFR,9.19,9.10,"20,480","173,053",9.53,6.53,"270,210,263 ",0,0.075,0.82
GBAB,21.82,21.75,"5,950","81,682",24.75,18.84,"380,023,819 ",0,0.126,0.58
GIM,6.51,6.46,"57,048","367,022",6.63,5.86,"873,278,469 ",0,0.032,0.5
GOF,19.65,19.59,"22,105","87,962",N/A,N/A,"362,244,338 ",0,0.182,0.93
HPF,20.6404,20.56,"6,306","63,655",23.24,18.49,"438,626,584 ",0,0.14,0.68
IEX,90.47,89.97,"23,857","316,801",95.76,67.20,"6,870,569,908 ",0.93,0.34,0.38
JPS,9.41,9.362,"70,353","688,608",9.74,8.21,"1,916,623,581 ",0,0.062,0.66
JQC,8.79,8.7554,"35,364","515,912",8.95,7.06,"1,191,355,337 ",0,0.052,0.6
LEO,8.61,8.59,"20,949","147,732",9.63,8.17,"533,551,799 ",0,0.043,0.5
MAA,97.79,96.6035,"72,313","1,225,437",110.01,82.91,"11,077,174,300 ",-0.01,0.87,0.9
MAS,32.29,32.055,"328,651","3,866,471",37.375,23.10,"10,571,490,584 ",1.68,0.1,0.32
MCA,14.70,14.66,"13,695","95,703",16.87,13.95,"504,942,837 ",0,0.065,0.45
MEI,40.85,40.35,"38,011","245,424",44.05,23.83,"1,489,035,930 ",0.91,0.09,0.23
MEN,11.53,11.48,"21,922","92,191",13.21,10.92,"341,448,957 ",0,0.056,0.49
MN,7.95,7.80,"16,431","85,079",10.34,5.60,"118,530,652 ",2.16,0.16,2.03
MUI,14.0134,13.99,"29,958","126,838",15.625,13.55,"536,147,724 ",0,0.056,0.4
MVO,6.40,6.3589,"2,126","36,167",6.76,3.261,"73,127,350 ",0.65,0.12,1.89
NAD,14.10,14.07,"140,021","586,610",15.97,13.25,"2,846,338,082 ",0,0.068,0.49
NCV,6.59,6.55,"158,949","403,051",6.87,4.41,"578,569,679 ",0,0.065,1.0
NMZ,12.99,12.95,"40,842","243,162",15.42,12.64,"747,556,105 ",0,0.068,0.53
NUV,9.72,9.69,"91,880","528,800",10.88,9.34,"2,006,484,980 ",0,0.032,0.33
NVG,14.80,14.73,"78,745","620,337",16.59,13.85,"2,991,665,749 ",0,0.072,0.49
NWFL,33,33,125,"3,508",34.50,26.25,"136,144,008 ",0.44,0.32,0.97
NXR,14.33,14.24,"7,489","31,636",15.98,13.73,"186,812,419 ",0,0.043,0.31
