name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
OXM,58.205,57.01,"110,120","205,023",77.99,52.54,"970,115,358 ",0.54,0.27,0.47
PBHC,13.30,13.30,504,"3,018",13.8968,10.7554,"56,255,595 ",-0.27,0.05,0.38
PCK,9.49,9.40,"32,318","79,294",11.25,9.05,"301,556,049 ",0,0.047,0.5
PDCO,42.65,42.02,"60,603","1,979,684",50.40,36.46,"4,130,780,710 ",0.41,0.24,0.57
PTY,14.70,14.64,"70,792","270,496",15.22,11.81,"1,049,851,171 ",0,0.13,0.89
PZC,11.69,11.58,"6,074","71,312",13.11,10.67,"258,475,055 ",0,0.06,0.52
RPM,52.5698,52.251,"70,637","620,387",55.92,36.7755,"6,991,367,840 ",1.52,0.3,0.58
SAIC,84.77,83.86,"49,488","340,105",89.25,39.76,"3,707,940,782 ",1.29,0.31,0.37
SHLM,33.95,31.75,"203,594","260,824",37.70,19.58,"942,139,520 ",1.75,0.205,0.65
SJR,21.31,21.02,"162,488","373,012",21.14,15.66,"9,922,404,631 ",0.55,0.073,0.35
SNX,122.13,119.42,"47,146","212,949",128.06,75.87,"4,841,417,745 ",1.36,0.25,0.21
TRN,28.4793,28.05,"265,023","1,588,522",29.3101,14.94,"4,302,775,275 ",2.19,0.11,0.39
WFM,30.99,30.68,"568,719","5,288,506",35.58,27.67,"9,806,329,484 ",0.62,0.14,0.46
YUM,64.99,64.66,"357,325","3,604,356",91.99,59.57,"23,811,317,554 ",2.32,0.3,0.47
