name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
BRC,37.60,36.90,"218,973","244,365",39.60,20.35,"1,885,321,817 ",1.52,0.205,0.56
DGX,93.37,92.51,"919,598","1,150,445",93.572,59.655,"12,903,220,612 ",0.54,0.45,0.49
DRI,72.76,71.82,"1,900,558","1,762,142",79.43,55.77,"8,872,895,377 ",0.93,0.56,0.78
ETH,37.75,37.25,"146,835","207,314",38.80,22.46,"1,034,133,113 ",1.59,0.19,0.51
GIS,62.56,61.95,"2,135,067","3,237,965",72.95,53.53,"36,001,299,653 ",0.73,0.48,0.78
INTU,115.63,114.30,"867,779","1,318,373",118.655,88.17,"29,511,759,077 ",1.09,0.34,0.3
LNC,68.10,67,"1,388,359","1,747,355",69.49,30.39,"15,487,249,452 ",1.6,0.29,0.43
MSM,94.09,92.4601,"469,643","611,476",95.10,54.19,"5,294,588,945 ",1.26,0.45,0.49
OGE,34.14,33.58,"908,415","907,983",34.23,23.37,"6,769,930,310 ",1.04,0.303,0.9
RAS,3.80,3.56,"684,401","489,074",3.45,1.85,"349,351,129 ",2.08,0.09,2.38
RVSB,7.20,6.98,"38,996","50,297",8.1571,4.15,"159,130,782 ",0.53,0.02,0.29
T,43,42.71,"23,128,725","23,443,119",43.89,33.41,"262,650,570,000 ",0.68,0.49,1.15
TD,50.97,50.29,"1,527,026","1,293,944",50.53,33.485,"94,442,681,561 ",0.64,0.409,0.81
UDR,36.58,35.74,"1,814,805","1,715,265",38.61,32.79,"9,703,789,331 ",-0.13,0.295,0.82
WGL,77.80,76.04,"317,784","308,432",79.97,58.66,"3,945,757,699 ",1.44,0.488,0.64
WSBF,18.80,18.50,"58,033","101,391",19.30,13.30,"549,516,386 ",0.51,0.12,0.65
