name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
ARR,22.45,22.121,"338,600","484,730",23.40,16.61,"820,412,557 ",0.1,0.19,0.86
BFS,65.65,64.76,"35,160","38,047",68.75,46.46,"1,392,284,000 ",1.15,0.51,0.79
CAC,44.45,43.04,"84,293","68,610",45.43,24.82,"684,807,507 ",0.59,0.23,0.52
CMC,21.305,20.57,"2,534,836","1,724,788",24.64,12.44,"2,418,332,676 ",2.26,0.12,0.58
CMD,80.45,78.14,"132,458","171,770",88.81,55.01,"3,290,629,782 ",1.25,0.07,0.09
EME,68.37,67.62,"436,121","435,462",73.44,40.9803,"4,123,960,368 ",1.46,0.08,0.12
EOG,105.01,102.73,"3,533,049","3,475,466",109.37,57.15,"60,481,941,150 ",0.67,0.168,0.17
GGG,85.99,84.20,"282,439","270,006",86.62,63.05,"4,783,255,600 ",0.74,0.36,0.42
GROW,1.55,1.5159,"63,029","39,770",2.327,0.9623,"23,174,936 ",2.21,0.002,0.14
GWRS,9.20,9.1217,"8,499","30,598",9.29,6.23,"180,034,076 ",0.6,0.023,0.26
HRL,35.23,34.805,"1,983,103","2,564,348",45.72,33.18,"18,545,075,303 ",1.17,0.17,0.49
KIO,16.19,16.11,"44,435","68,310",16.18,12.26,"246,219,509 ",0,0.125,0.78
KWR,130.72,128.735,"66,859","77,335",139.92,68.20,"1,727,263,129 ",0.94,0.345,0.27
LSI,84.78,82.13,"563,523","557,763",N/A,N/A,"3,812,860,261 ",0.6,0.95,1.16
MGRC,38.58,37.66,"52,629","111,497",39.86,21.459,"916,612,274 ",0.58,0.255,0.67
MRT,11.58,11.155,"180,405","259,374",12.05,10.28,"361,837,869 ",0.62,0.21,1.84
OAKS,5.30,5.23,"175,722","112,458",6.29,3.821,"92,256,150 ",0.62,0.05,0.96
PKBK,19.95,19.90,369,"9,568",20.30,9.8818,"136,176,974 ",0.07,0.1,0.51
PNC,121.33,117.52,"4,368,620","3,108,859",119.74,77.40,"59,027,234,517 ",1.07,0.55,0.46
RGCO,26,25.54,"1,944","1,934",25.9999,20.66,"124,067,218 ",-0.08,0.218,0.85
RIV,19.18,19.04,"8,526","16,289",21.14,15.55,"71,610,806 ",0,0.14,0.74
SBR,36.95,36.60,"11,472","21,275",40.99,22.752,"537,248,863 ",0.22,0.213,0.58
WSO,149.10,146.80,"102,788","187,261",159.55,106.58,"5,294,616,381 ",0.89,1.05,0.71
WSO.B,N/A,N/A,0,162,157.72,108.01,"746,233,976 ",0,1.05,0.71
