name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
ATW,13.42,12.99,"1,638,765","4,062,955",15.37,4.82,"846,689,266 ",1.82,0.075,0.58
BDN,16.52,16.11,"916,799","1,502,063",17.05,11.22,"2,879,314,094 ",0.48,0.15,0.92
BRX,24.45,24.04,"1,551,796","1,854,637",29.14,19.91,"7,408,697,837 ",0.74,0.245,1.01
CIG,2.33,2.265,"1,330,565","3,928,387",3.08,1.0207,"2,870,158,971 ",1.53,0.034,1.49
CIO,13.25,13.009,"75,701","98,828",13.93,10.65,"319,529,072 ",0.83,0.235,1.8
CLI,29.23,28.48,"272,048","592,017",29.38,17.35,"2,600,068,745 ",1.11,0.15,0.52
CMCSA,70.05,68.93,"5,293,594","11,278,595",71.32,52.34,"165,009,721,890 ",0.83,0.25,0.37
CSCO,30.60,30.14,"13,351,673","22,897,555",31.95,22.46,"151,295,534,271 ",0.87,0.21,0.7
DL,11.25,11.01,"13,621","43,669",15.46,8.97,"368,184,713 ",1.02,0.9,8.06
FAM,11.15,11.08,"33,732","30,175",11.94,9.63,"192,355,661 ",0,0.075,0.68
GPS,22.77,22.25,"4,030,988","6,000,403",N/A,N/A,"8,938,931,434 ",1.47,0.23,1.03
IHC,19.80,19.7426,"1,284","10,202",21.226,13.16,"336,964,229 ",0.8,0.045,0.23
ITUB,10.39,10.24,"7,642,642","13,788,282",12.185,4.9818,"610,168,775 ",0.96,0.004,0.04
JPM,86.41,85.66,"7,664,850","16,645,504",87.39,52.50,"307,873,858,479 ",1.14,0.44,0.52
KCAP,4.01,3.92,"255,898","151,339",4.89,2.62,"147,969,610 ",0.97,0.15,3.78
KRG,23.57,22.94,"472,529","461,524",30.45,22.50,"1,959,153,372 ",1,0.273,1.17
ORCL,38.8625,38.34,"7,061,415","12,704,104",N/A,N/A,"157,489,331,670 ",0.99,0.15,0.4
ROYT,1.11,0.9657,"435,115","173,502",2.2124,0.68,"41,241,538 ",-0.42,0.006,0.57
RTN,142.6316,141.60,"737,898","1,732,611",152.5797,115.73,"41,612,716,370 ",0.86,0.67,0.48
TMK,73.95,73.51,"145,702","509,975",75.07,48.47,"8,737,808,841 ",0.94,0.135,0.19
VIV,13.629,13.255,"1,004,290","1,915,378",15.69,7.715,"22,501,847,883 ",1.03,0.088,0.67
WAYN,16.50,16.1501,793,"1,640",16.71,11.90,"45,900,344 ",-0.14,0.09,0.55
WSCI,3.05,2.95,"15,102","7,809",4.454,2.73,"8,758,500 ",-1.07,0.04,1.34
WSR,14.41,14.15,"130,729","153,605",16.30,9.44,"419,486,844 ",1.41,0.095,0.67
