name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
GNMA,49.7744,49.58,"57,531",N/A,51.334,49.30,"174,107,500 ",0,0.209,0.43
HBHC,43.60,42.95,"307,318","743,371",45.50,20.01,"3,631,539,615 ",1.93,0.24,0.56
HLI,31.45,30.89,"20,059","83,031",31.7452,20.9601,"2,072,147,378 ",1.18,0.17,0.55
HRB,23.24,22.90,"946,127","2,816,342",35.14,19.18,"4,761,615,531 ",1.1,0.22,0.96
HYXE,N/A,N/A,0,N/A,52.14,49.525,"10,153,800 ",0,0.251,0.5
IGOV,90.04,89.71,"92,633",N/A,102.17,87.30,"700,245,000 ",0,0.023,0.03
IGT,25.545,25.22,"343,059","1,471,464",32.07,12.48,"5,134,421,079 ",0.43,0.2,0.79
ITUB,10.39,10.24,"6,605,687","13,788,282",12.185,4.9818,"610,168,775 ",0.96,0.004,0.04
JACK,112.65,111,"471,863","607,676",113.30,61.78,"3,609,526,133 ",1.1,0.4,0.36
KEQU,25.125,24.029,"5,234","3,151",27.60,15.8152,"66,291,505 ",1.47,0.15,0.62
LKOR,50.11,49.90,"4,502",N/A,57.80,48.16,"12,510,050 ",0,0.172,0.35
MBSD,24.14,24.08,"16,558",N/A,26.39,23.90,"36,210,024 ",0,0.057,0.24
MLR,27.40,26.50,"10,504","21,540",28.85,18.93,"300,657,340 ",1.25,0.17,0.65
MSFG,34.69,34.14,"38,710","64,254",34.75,19.46,"823,895,425 ",1.45,0.16,0.47
NKE,51.33,50.70,"4,921,776","9,548,062",65.44,49.01,"84,654,020,691 ",0.85,0.18,0.36
NOC,233.34,231.71,"444,158","1,036,140",N/A,N/A,"40,933,311,952 ",0.54,0.9,0.39
ORI,19.13,18.95,"548,305","1,773,072",N/A,N/A,"4,998,593,475 ",0.86,0.188,0.99
PFG,58.20,57.62,"313,617","1,614,997",61.34,33.09,"16,625,071,467 ",1.27,0.43,0.75
QIWI,12.93,12.49,"439,923","556,733",18.58,10.42,"763,691,117 ",0.96,0.2,1.59
RGC,20.72,20.515,"800,717","1,625,618",24.79,16.50,"3,223,636,406 ",0.9,0.22,1.07
SKOR,50.10,49.93,"8,828",N/A,52.23,49.57,"34,979,050 ",0,0.098,0.2
SLQD,50.22,50.1068,"120,058",N/A,52.0899,49.63,"220,851,840 ",0,0.08,0.16
SRET,14.37,14.29,"45,361",N/A,15.85,11.03,"2,866,000 ",0,0.094,0.66
STBZ,27.16,26.75,"36,815","127,581",27.50,17.34,"990,761,479 ",1.6,0.14,0.53
TEVA,36.43,35.92,"4,320,642","8,616,661",66.55,34.57,"36,829,275,000 ",0.66,0.289,0.8
TLT,119.65,118.72,"8,996,442",N/A,143.62,116.80,"5,466,230,000 ",0,0.243,0.21
VCIT,85.77,85.42,"545,842",N/A,90.14,83.75,"10,348,527,539 ",0,0.233,0.28
VCLT,89.41,88.94,"107,322",N/A,97.64,82.895,"1,527,690,918 ",0,0.326,0.37
VCSH,79.40,79.26,"1,174,895",N/A,81.18,78.75,"15,809,826,915 ",0,0.136,0.18
VGIT,64.0599,63.8601,"109,493",N/A,67.45,63.42,"950,466,304 ",0,0.08,0.13
VGLT,73.88,73.3919,"168,264",N/A,87.9199,72.21,"535,767,067 ",0,0.161,0.22
VGSH,60.76,60.6912,"506,423",N/A,61.44,60.58,"977,275,704 ",0,0.045,0.08
VHI,3.64,3.43,"74,034","153,799",3.80,0.85,"1,180,273,143 ",1.56,0.02,0.58
VMBS,52.35,52.21,"345,569",N/A,54.005,51.879,"2,938,576,499 ",0,0.07,0.14
VVV,21.66,21.14,"288,493","1,387,011",24.51,18.30,"4,415,794,539 ",0.43,0.049,0.23
VWOB,77.642,77.36,"54,601",N/A,82.08,72.13,"893,514,272 ",0,0.317,0.41
WEYS,31.58,31.22,"3,036","18,732",31.50,22.94,"327,705,822 ",1.06,0.21,0.67
