name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
AEL,22.77,22.15,"211,755","654,759",24.73,12.65,"1,985,023,734 ",2.39,0.24,1.07
ALTY,14.9497,14.87,"2,621",N/A,16.58,12.1161, ,0,0.099,0.67
AMC,34.30,33.65,"244,750","312,000",35.65,19.28,"3,715,373,070 ",1.2,0.2,0.6
ANTM,145.50,143.11,"677,200","1,627,488",148.26,114.85,"37,829,322,866 ",1.46,0.65,0.46
BNDX,54.33,54.14,"578,222",N/A,56.31,52.76,"6,073,688,421 ",0,0.066,0.13
BRKR,21.50,21.17,"298,587","733,307",29.85,19.585,"3,396,544,621 ",1.04,0.04,0.19
CASS,73.79,72.6747,"5,824","30,149",74.83,45.05,"820,892,184 ",0.99,0.23,0.32
CCBG,20.63,20.25,"7,978","26,170",23.149,12.83,"345,721,656 ",1.87,0.05,0.25
CCC,17.35,16.90,"89,841","253,438",18.80,12.70,"859,518,414 ",0,0.05,0.3
CHS,14.70,14.37,"773,395","2,374,762",16.85,9.61,"1,863,143,526 ",1.68,0.08,0.56
DWFI,24.26,24.19,"30,082",N/A,26.91,23.61,"13,326,500 ",0,0.073,0.31
EFAS,N/A,N/A,0,N/A,15.83,14.69, ,0,0.005,0.04
ESV,10.05,9.70,"3,074,011","9,762,911",16.10,6.495,"2,950,482,312 ",1.43,0.01,0.11
FALN,26.76,26.76,"2,412",N/A,27.16,24.79,"10,704,000 ",0,0.213,0.8
FAM,11.15,11.08,"30,432","30,175",11.94,9.63,"192,355,661 ",0,0.075,0.68
FUN,64.35,63.79,"98,465","165,582",64.90,48.4552,"3,599,880,166 ",0.33,0.855,1.34
GCI,9.85,9.71,"375,342","1,124,219",17.72,7.30,"1,134,016,515 ",2.52,0.16,1.65
GFF,26.50,26.10,"132,523","236,192",26.95,13.45,"1,179,733,472 ",1.03,0.06,0.23
GLPI,30.59,30.16,"440,676","1,091,761",35.98,24.21,"6,316,323,319 ",0.59,0.6,1.97
