name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
CODI,18.30,17.95,"346,122","241,923",19.50,13.65,"1,087,185,000 ",0.49,0.36,1.99
CXE,4.97,4.92,"87,640","88,005",5.59,4.70,"156,573,180 ",0,0.024,0.49
CXH,9.65,9.60,"27,743","24,493",10.77,9.09,"111,234,787 ",0,0.04,0.42
HRZN,11.25,11.19,"97,526","103,348",13.95,9.01,"129,516,495 ",0,0.1,0.9
INF,13.34,13.2142,"138,476","101,695",13.94,8.4757,"183,667,884 ",0,0.117,0.88
MCR,8.64,8.61,"72,755","120,235",8.75,7.27,"448,330,777 ",0,0.062,0.72
MIN,4.40,4.37,"232,897","335,387",4.69,4.28,"516,846,439 ",0,0.033,0.76
MMT,6.09,6.05,"192,383","222,158",6.29,5.22,"453,185,971 ",0,0.044,0.73
RNP,19.5148,19.40,"81,278","145,548",21.69,16.16,"928,027,019 ",0,0.124,0.64
RQI,12.80,12.65,"274,534","384,901",14.73,10.12,"1,393,991,104 ",0,0.08,0.63
SUNS,16.85,16.7855,"52,846","71,921",17.09,12.8001,"269,540,685 ",0,0.117,0.7
TAHO,9.0463,8.695,"2,303,358","2,383,609",17.01,6.475,"2,807,360,383 ",0.22,0.02,0.23
UTF,20.0532,19.92,"335,247","236,084",22.14,15.85,"1,709,808,672 ",0,0.134,0.67
VBF,18.69,18.6294,"13,830","36,039",19.54,17.50,"212,182,337 ",0,0.069,0.37
VVR,4.645,4.61,"556,708","647,309",4.68,3.65,"831,767,059 ",0,0.023,0.5
