name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
AC,34.10,33.65,"19,596","32,894",35.96,24.67,"859,068,443 ",1.11,0.1,0.3
BBVA,6.99,6.90,"2,437,653","3,729,229",7.67,5.14,"45,769,308,237 ",0.99,0.068,0.98
BDN,16.82,16.66,"1,521,658","1,520,861",17.05,11.22,"2,928,353,507 ",0.5,0.16,0.96
CPB,61.085,60.57,"888,468","2,080,593",67.89,50.54,"18,638,049,055 ",0.87,0.35,0.58
EBF,17.60,17.195,"96,172","127,859",21.55,14.40,"446,516,592 ",0.81,0.175,1.02
GBL,31.75,31.12,"16,262","25,602",41.67,25.95,"919,064,699 ",1.26,0.02,0.07
IDCC,89.80,87.85,"419,856","398,121",N/A,N/A,"3,051,219,841 ",1.63,0.3,0.34
NYT,13.70,13.45,"315,753","614,864",14.20,10.60,"2,174,753,610 ",1.03,0.04,0.3
TSE,61.35,60.30,"646,261","882,147",62.30,21.92,"2,714,916,688 ",1.26,0.3,0.5
WAYN,16.55,16.50,548,"1,672",16.8155,11.90,"45,900,344 ",-0.2,0.09,0.55
WDR,20.54,20.18,"922,485","1,200,747",27.59,15.02,"1,683,452,628 ",2.83,0.46,2.27
WGO,33.05,32.40,"282,917","373,289",39.30,15.41,"1,026,437,328 ",1.81,0.1,0.31
