name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
A,46.70,45.71,"618,268","2,018,750",48.63,34.15,"14,719,965,556 ",1.45,0.132,0.29
AFSI,27.7834,27.51,"165,523","744,241",32.22,23.5548,"4,704,441,059 ",0.63,0.17,0.62
ANDE,44.15,43.70,"69,863","147,939",44.90,23.25,"1,235,865,000 ",0.78,0.16,0.37
APD,147.67,145.24,"345,776","1,558,486",157.84,114.64,"31,688,769,803 ",1.15,0.86,0.6
APLE,19.845,19.71,"426,364","1,248,607",20.65,16.35,"4,414,768,232 ",0.47,0.1,0.51
BNS,56.43,56.10,"356,136","719,205",58.97,35.01,"67,892,057,176 ",0.69,0.551,0.99
BOCH,9.40,9,"17,605","14,565",9.35,5.05,"122,970,711 ",0.31,0.03,0.33
BSMX,7.53,7.415,"589,655","1,711,905",10.13,6.73,"10,098,155,626 ",1.6,0.385,5.18
CAFD,13.30,13.03,"171,231",N/A,17.339,12.04,"1,038,166,464 ",0.56,0.249,1.9
CAH,73.69,72.5189,"849,562","2,840,518",91.225,62.70,"23,242,996,991 ",1.29,0.449,0.62
CFI,37.45,36.85,"16,410","51,078",37.55,22.61,"457,381,735 ",1.48,0.08,0.22
CSRA,32.22,31.57,"380,438","1,279,172",32.84,20.98,"5,190,415,159 ",0.86,0.1,0.32
CUBE,26.45,25.78,"851,469","1,670,833",33.52,23.65,"4,641,382,734 ",0.67,0.27,1.05
CWCO,11.05,10.85,"16,012","92,389",14.69,9.80,"160,782,884 ",0.05,0.075,0.7
CXW,24.25,23.94,"561,588","3,835,998",35.05,12.99,"2,821,251,816 ",2.72,0.42,1.75
FCCY,18.50,17.75,"10,736","19,516",18.25,11.27,"146,533,361 ",0.9,0.05,0.28
FLIC,29.10,28.70,"22,797","62,022",29.67,17.4267,"679,783,206 ",1.04,0.14,0.49
FRT,140.30,138.255,"186,507","441,177",171.08,134.39,"9,951,762,495 ",0.93,0.98,0.71
FULT,19.40,19,"262,638","1,039,072",19.45,11.48,"3,296,480,775 ",1.6,0.1,0.53
GFED,19.999,19.50,"2,731","3,819",20.46,14.80,"88,245,646 ",-0.02,0.1,0.51
GLT,25.28,24.16,"53,719","166,854",25.49,14.09,"1,057,385,235 ",1.39,0.125,0.52
HFBC,13.59,12.80,"4,394","12,765",14.10,10.82,"90,218,966 ",0.6,0.04,0.3
HLS,42.19,41.59,"459,151","1,148,874",43.38,30.26,"3,744,507,128 ",0.28,0.24,0.58
HTA,28.62,28.11,"424,552","893,378",34.64,25.90,"4,012,316,934 ",0.87,0.3,1.06
IRET,7.13,7.02,"483,783","713,793",7.51,5.60,"858,327,524 ",0.88,0.07,1.0
JCAP,20.91,20.32,"40,050","57,212",22.02,10.10,"178,916,694 ",0.31,0.35,1.69
KIM,25.11,24.69,"1,935,009","3,425,443",32.24,24.75,"10,496,013,810 ",0.87,0.27,1.1
LPT,39.39,38.66,"348,490","953,799",42.255,26.94,"5,682,771,764 ",0.95,0.475,1.23
MHLD,17.75,17.55,"95,831","574,307",18.10,11.14,"1,515,920,754 ",0.87,0.15,0.86
NGHC,25.15,24.95,"35,747","212,145",25.40,18.04,"2,663,311,946 ",1.01,0.04,0.16
O,56.61,55.70,"722,791","1,717,840",72.295,50.47,"14,437,593,448 ",0.73,0.203,0.37
OC,53.20,52.43,"248,135","1,111,657",58.69,38.96,"5,942,683,134 ",1.58,0.2,0.39
PKE,19.08,18.65,"12,284","52,360",19.56,13.65,"377,983,654 ",1.12,0.1,0.54
PLPC,58.08,57.23,"3,200","5,830",61.21,31.59,"294,781,083 ",0.88,0.2,0.35
RJF,71.73,70.12,"290,476","675,697",74.70,39.84,"9,956,425,248 ",1.16,0.22,0.32
RSG,57.55,57.27,"288,615","1,330,128",N/A,N/A,"19,524,010,481 ",0.71,0.32,0.56
SCS,18,17.65,"231,515","732,619",18.10,11.67,"2,088,276,847 ",1.05,0.12,0.68
SFBS,38.295,37.80,"114,815","288,787",38.65,17.06,"4,001,808,000 ",0.9,0.04,0.11
SLG,105.95,104.53,"270,551","859,632",120.63,80.12,"10,597,287,748 ",1.02,0.775,0.75
STT,79.44,78.38,"493,926","2,198,324",81.91,50.595,"30,241,594,835 ",1.11,0.38,0.49
UFS,40.46,39.37,"196,358","476,692",42.95,29.88,"2,566,243,586 ",0.96,0.415,1.06
WERN,27.95,27.20,"202,773","941,284",29.05,20.91,"1,961,866,442 ",0.85,0.06,0.23
WMC,10.43,10.25,"323,679","276,745",11.18,8.04,"429,677,960 ",0.64,0.31,3.03
