name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
AET,124.23,121.25,"2,061,864","2,542,456",136.50,92.42,"43,262,461,000 ",1.18,0.25,0.21
HCAP,14.6961,14.25,"79,894","27,268",14.8845,9.9301,"90,392,368 ",0,0.112,0.78
HUM,203.47,199.75,"914,712","1,279,632",N/A,N/A,"30,253,374,725 ",0.72,0.29,0.15
JOUT,35.64,33.76,"116,302","43,922",45.35,18.33,"339,960,857 ",1.77,0.09,0.27
KAI,61.15,59.90,"32,799","48,010",64.75,33.38,"655,976,655 ",1.02,0.19,0.32
LGI,14.085,14.01,"18,791","28,542",14.23,10.59,"135,241,737 ",0,0.082,0.59
POT,18.60,18.36,"1,804,840","7,449,977",19.88,14.64,"15,531,282,208 ",1.4,0.1,0.55
TAX,14.20,13.80,"64,143","60,781",22.2499,9.95,"177,316,092 ",1.61,0.16,1.15
