name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
CMTL,11.62,11.23,"241,235","347,907",25.09,9.52,"266,548,980 ",2.37,0.1,0.89
CNOB,25,24.35,"81,196","122,111",26.65,14.86,"793,341,245 ",1.1,0.075,0.31
CPL,15.995,15.86,"316,740","301,751",15.91,6.3801,"8,112,780,526 ",0.96,0.116,0.73
PBBI,10.20,10,"2,716","5,160",10.15,8.20,"79,592,060 ",-0.04,0.03,0.3
PIR,8.75,8.435,"3,363,590","3,108,700",9.675,3.73,"709,942,761 ",3.36,0.07,0.82
WNR,35.83,34.94,"1,322,384","2,925,289",40.09,18.14,"3,805,907,812 ",2.31,0.38,1.09
WST,86.17,84.95,"246,325","407,213",88.30,53.88,"6,294,565,817 ",0.74,0.13,0.16
