name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
ABM,40.94,40.62,"355,501","348,880",45.0275,26.50,"2,268,895,564 ",1.38,0.17,0.42
BBD,8.84,8.69,"7,886,148","12,964,099",10.49,3.6455,"48,182,719,212 ",0.97,0.005,0.06
BBDO,8.8501,8.85,"1,914","3,214",10.15,3.7727,"48,957,183,126 ",0.66,0.004,0.05
BRX,24.45,24.04,"2,228,320","1,854,637",29.14,19.91,"7,431,521,921 ",0.74,0.26,1.07
CLI,29.23,28.48,"418,231","592,017",29.38,17.35,"2,602,759,399 ",1.11,0.15,0.52
DOC,19.12,18.7599,"1,451,684","1,151,634",22.03,15.41,"2,570,399,844 ",0.98,0.225,1.19
ERIE,113.99,112.30,"23,338","31,407",116.2099,88.69,"5,879,995,657 ",0.49,0.783,0.7
FAM,11.1627,11.08,"45,241","30,175",11.94,9.63,"192,701,003 ",0,0.075,0.68
HT,21.56,21.15,"337,092","409,149",22.555,15.36,"899,561,011 ",1.31,0.48,2.24
ORCL,38.8625,38.34,"10,687,081","12,704,104",N/A,N/A,"157,735,472,850 ",0.99,0.15,0.4
RCII,11.33,11.07,"869,144","1,118,190",N/A,N/A,"597,933,191 ",3.71,0.08,0.72
SSD,44.44,43.62,"116,768","220,127",48.41,30.25,"2,080,173,463 ",0.63,0.18,0.42
SUP,27.30,26.20,"107,594","142,639",32.12,16.35,"670,477,726 ",1.67,0.18,0.69
TCFC,28.9999,28.40,"1,820","2,352",30.40,19.19,"135,067,846 ",1.25,0.1,0.35
VIV,13.629,13.255,"1,285,280","1,915,378",15.69,7.715,"22,594,726,055 ",1.03,0.093,0.7
VLGEA,31.67,30.78,"28,495","79,042",36.42,23.29,"437,880,223 ",0.46,0.25,0.81
WNC,16.005,15.75,"778,163","1,311,399",16.30,9.68,"981,406,451 ",2.17,0.06,0.38
