,Unnamed: 0,school_name,address,score,district,grade,lat,long
202,202,Rhodes Elementary School,"5714 North Knoll, San Antonio, TX 78240",5.0,Public district,PK-5,N/A,N/A
203,203,William Paschall Elementary School,"6351 Lakeview Drive, San Antonio, TX 78244",5.0,Public district,PK-5,N/A,N/A
204,204,Hatchett Elementary School,"10700 Ingram Road, San Antonio, TX 78245",5.0,Public district,PK-5,N/A,N/A
205,205,Mary Lou Hartman,"7203 Woodlake Parkway, San Antonio, TX 78218",5.0,Public district,PK-5,N/A,N/A
206,206,Robert C Zamora Middle School,"8638 Larkia Street, San Antonio, TX 78224",5.0,Public district,6-8,N/A,N/A
207,207,Mission Academy,"9210 South Presa Street, San Antonio, TX 78223",5.0,Public district,PK-8,N/A,N/A
208,208,Spicewood Park Elementary School,"11914 Dragon Lane, San Antonio, TX 78252",5.0,Public district,PK-5,N/A,N/A
209,209,Vale Middle School,"2120 North Ellison Drive, San Antonio, TX 78251",5.0,Public district,6-8,N/A,N/A
210,210,Carnahan Elementary School,"6839 Babcock Road, San Antonio, TX 78249",5.0,Public district,PK-5,N/A,N/A
211,211,Henderson Elementary School,"14605 Kallison Bend, San Antonio, TX 78254",5.0,Public district,PK-5,N/A,N/A
212,212,Kipp University Prep High School,"735 Fredericksburg Road, San Antonio, TX 78201",5.0,Public charter,9-12,N/A,N/A
213,213,Highland Park Gifted And Talented,"4434 Roland Road, San Antonio, TX 78222",5.0,Public charter,PK-8,N/A,N/A
214,214,Medio Creek Elementary School,"11914 Dragon Lane, San Antonio, TX 78252",5.0,Public district,PK-5,N/A,N/A
215,215,Bernal Middle,"8411 Mission Road, San Antonio, TX 78234",5.0,Public district,6-8,N/A,N/A
216,216,Brooks Estrella Academy,"8005 Outer Circle Road, San Antonio, TX 78234",5.0,Public charter,K-5,N/A,N/A
217,217,Idea Walzem Academy,"6445 Walzem Road, San Antonio, TX 78239",5.0,Public charter,K-3,N/A,N/A
218,218,Lighthouse Charter School - B Campus,"8138 Westshire Drive, San Antonio, TX 78227",5.0,Public charter,PK-12,N/A,N/A
219,219,St Philip's College Early College High School With Saisd,"1801 Martin Luther King Drive, San Antonio, TX 78203",5.0,Public charter,9-10,N/A,N/A
220,220,George Gervin Academy,"6944 South Sunbelt Drive, San Antonio, TX 78218",4.0,Public charter,PK-12,N/A,N/A
221,221,East Central High School,"7173 Farm to Market Road 1628, San Antonio, TX 78263",4.0,Public district,9-12,N/A,N/A
222,222,Sinclair Elementary School,"6126 Sinclair Road, San Antonio, TX 78222",4.0,Public district,PK-3,N/A,N/A
223,223,East Central Heritage Middle School,"8004 New Sulphur Springs Road, San Antonio, TX 78263",4.0,Public district,6-8,N/A,N/A
224,224,H B Gonzalez Elementary School,"2803 Castroville Road, San Antonio, TX 78237",4.0,Public district,PK-5,N/A,N/A
225,225,Stafford Elementary School,"415 Southwest 36th Street, San Antonio, TX 78237",4.0,Public district,PK-5,N/A,N/A
226,226,Columbia Heights Elementary School,"1610 Fitch Avenue, San Antonio, TX 78211",4.0,Public district,PK-5,N/A,N/A
227,227,Gillette Elementary School,"625 Gillette Boulevard, San Antonio, TX 78221",4.0,Public district,PK-5,N/A,N/A
228,228,Kingsborough Middle School,"422 Ashley Road, San Antonio, TX 78221",4.0,Public district,6-8,N/A,N/A
229,229,Vestal Elementary School,"1111 West Vestal Place, San Antonio, TX 78221",4.0,Public district,PK-5,N/A,N/A
230,230,Woodlake Elementary School,"5501 Bending Crest, San Antonio, TX 78239",4.0,Public district,PK-5,N/A,N/A
231,231,Serna Elementary School,"2569 Northeast Interstate 410 Loop, San Antonio, TX 78217",4.0,Public district,PK-5,N/A,N/A
232,232,Camelot Elementary School,"7410 Ray Bon Drive, San Antonio, TX 78218",4.0,Public district,PK-5,N/A,N/A
233,233,Colonial Hills Elementary School,"2627 Kerrybrook Court, San Antonio, TX 78230",4.0,Public district,PK-5,N/A,N/A
234,234,Harmony Hills Elementary School,"10727 Memory Lane, San Antonio, TX 78216",4.0,Public district,PK-5,N/A,N/A
235,235,Krueger Middle School,"438 Lanark Drive, San Antonio, TX 78218",4.0,Public district,6-8,N/A,N/A
236,236,Lee High School,"1400 Jackson Keller Road, San Antonio, TX 78213",4.0,Public district,9-12,N/A,N/A
237,237,Nimitz Middle School,"5426 Blanco Road, San Antonio, TX 78216",4.0,Public district,6-8,N/A,N/A
238,238,Regency Place Elementary School,"2635 East Bitters Road, San Antonio, TX 78217",4.0,Public district,PK-5,N/A,N/A
239,239,Roosevelt High School,"5110 Walzem Road, San Antonio, TX 78218",4.0,Public district,9-12,N/A,N/A
240,240,Wood Middle School,"14800 Judson Road, San Antonio, TX 78233",4.0,Public district,6-8,N/A,N/A
241,241,Jackson-Keller Elementary School,"1601 Jackson Keller Road, San Antonio, TX 78213",4.0,Public district,PK-5,N/A,N/A
242,242,Adams Hill Elementary School,"9627 Adams Hill Drive, San Antonio, TX 78245",4.0,Public district,PK-5,N/A,N/A
243,243,Holmes High School,"6500 Ingram Road, San Antonio, TX 78238",4.0,Public district,9-12,N/A,N/A
244,244,Meadow Village Elementary School,"1406 Meadow Way Drive, San Antonio, TX 78227",4.0,Public district,PK-5,N/A,N/A
245,245,Oak Hills Terrace Elementary School,"5710 Cary Grant Drive, San Antonio, TX 78240",4.0,Public district,PK-5,N/A,N/A
246,246,Valley Hi Elementary School,"8503 Ray Ellison Boulevard, San Antonio, TX 78227",4.0,Public district,PK-5,N/A,N/A
247,247,Westwood Terrace Elementary School,"2315 Hackamore Lane, San Antonio, TX 78227",4.0,Public district,PK-5,N/A,N/A
248,248,Hobby Middle School,"11843 Vance Jackson Road, San Antonio, TX 78230",4.0,Public district,6-8,N/A,N/A
249,249,Rudder Middle School,"6558 Horn Boulevard, San Antonio, TX 78240",4.0,Public district,6-8,N/A,N/A
250,250,Bonham Academy,"925 South Saint Marys Street, San Antonio, TX 78205",4.0,Public charter,PK-8,N/A,N/A
251,251,Briscoe El,"2015 South Flores Street, San Antonio, TX 78204",4.0,Public charter,PK-5,N/A,N/A
252,252,Burbank High School,"1002 Edwards, San Antonio, TX 78204",4.0,Public district,9-12,N/A,N/A
253,253,David Crockett Elementary School,"2215 Morales Street, San Antonio, TX 78207",4.0,Public district,PK-5,N/A,N/A
254,254,Fenwick Elementary School,"1930 Waverly Avenue, San Antonio, TX 78228",4.0,Public district,PK-5,N/A,N/A
255,255,Foster Elementary School,"6718 Pecan Valley Drive, San Antonio, TX 78223",4.0,Public district,PK-5,N/A,N/A
256,256,Franklin Elementary School,"1915 West Olmos Drive, San Antonio, TX 78201",4.0,Public district,PK-5,N/A,N/A
257,257,Lamar Elementary School,"201 Parland Place, San Antonio, TX 78209",4.0,Public district,PK-5,N/A,N/A
258,258,Margil Elementary School,"1000 Perez Street, San Antonio, TX 78207",4.0,Public district,PK-5,N/A,N/A
259,259,Neal Elementary School,"3407 Capitol Avenue, San Antonio, TX 78201",4.0,Public district,PK-5,N/A,N/A
260,260,Riverside Park El,"202 School Street, San Antonio, TX 78210",4.0,Public district,PK-5,N/A,N/A
