,school_name,address,score,grade
68,Mccallum High School,"5600 Sunshine Drive, Austin, TX 78756",7,Public district 9-12
69,O Henry Middle School,"2610 West 10th Street, Austin, TX 78703",7,Public district 6-8
70,Ortega Elementary School,"1135 Garland Avenue, Austin, TX 78721",7,Public district PK-5
71,Ridgetop Elementary School,"5005 Caswell Avenue, Austin, TX 78751",7,Public district PK-5
72,Wooten Elementary School,"1406 Dale Drive, Austin, TX 78757",7,Public district PK-5
73,Kealing Middle School,"1607 Pennsylvania Avenue, Austin, TX 78702",7,Public district 6-8
74,Boone Elementary School,"8101 Croftwood Drive, Austin, TX 78749",7,Public district PK-5
75,Hart Elementary School,"8301 Furness Drive, Austin, TX 78753",7,Public district PK-5
76,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX 78738",7,Public district 9-12
77,Parmer Lane Elementary School,"1806 West Parmer Lane, Austin, TX 78727",7,Public district PK-5
78,Jollyville Elementary School,"6720 Corpus Christi Drive, Austin, TX 78729",7,Public district PK-5
79,Forest North Elementary School,"13414 Broadmeade Avenue, Austin, TX 78729",7,Public district PK-5
80,Noel Grisham Middle School,"10805 School House Lane, Austin, TX 78750",7,Public district 6-8
81,Mcneil High School,"5720 McNeil Drive, Austin, TX 78729",7,Public district 9-12
82,Live Oak Elementary School,"8607 Anderson Mill Road, Austin, TX 78729",7,Public district PK-5
83,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX 78729",7,Public district 6-8
84,Nyos - Magnolia Mccullough Campus,"1605 Kramer Lane, Austin, TX 78758",7,Public charter PK-3
85,Mcbee Elementary School,"1101 West Braker Lane, Austin, TX 78758",7,Public district PK-5
86,Kipp Austin Collegiate,"8509 Farm to Market 969, Austin, TX 78724",7,Public charter 9-12
87,Idea Allan College Preparatory,"1701 Vargas Road, Austin, TX 78741",7,Public charter 6-9
88,Lamar Middle School,"6201 Wynona Avenue, Austin, TX 78757",6,Public district 6-8
89,Murchison Middle School,"3700 North Hills Drive, Austin, TX 78731",6,Public district 6-8
90,Oak Hill Elementary School,"6101 Patton Ranch Road, Austin, TX 78735",6,Public district PK-5
91,Odom Elementary School,"1010 Turtle Creek Boulevard, Austin, TX 78745",6,Public district PK-5
92,Pease Elementary School,"1106 Rio Grande Street, Austin, TX 78701",6,Public district PK-6
93,Summitt Elementary School,"12207 Brigadoon Lane, Austin, TX 78727",6,Public district PK-5
94,Williams Elementary School,"500 Mairo Street, Austin, TX 78748",6,Public district PK-5
95,Winn Elementary School,"3500 Susquehanna Lane, Austin, TX 78723",6,Public district PK-6
96,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX 78739",6,Public district 6-8
97,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX 78748",6,Public district PK-5
98,Copperfield Elementary School,"12135 Thompkins Drive, Austin, TX 78753",6,Public district PK-5
99,Anderson Mill Elementary School,"10610 Salt Mill Hollow, Austin, TX 78750",6,Public district PK-5
100,Purple Sage Elementary School,"11801 Tanglebriar Trail, Austin, TX 78750",6,Public district K-5
101,Small Middle School,"4801 Monterey Oaks Boulevard, Austin, TX 78749",6,Public district 6-8
102,Casey Elementary School,"9400 Texas Oaks Drive, Austin, TX 78748",6,Public district PK-5
103,Cedars International Academy,"8416 Interstate 35 Frontage Road, Austin, TX 78753",6,Public charter PK-12
104,Kipp Austin College Prep,"8509 Farm to Market 969, Austin, TX 78724",6,Public charter 5-8
105,Padron Elementary School,"1111 West 6th Street, Austin, TX 78703",6,Public district PK-5
106,Perez Elementary School,"7500 South Pleasant Valley Road, Austin, TX 78744",6,Public district PK-5
107,Grandview Hills Elementary School,"12024 Vista Parke Drive, Austin, TX 78726",6,Public district PK-5
108,Hillside Elementary School,"9600 Perry Lane, Austin, TX 78731",6,Public district PK-4
109,Kipp Austin Academy Of Arts & Lett,"8509 Farm to Market 969, Austin, TX 78724",6,Public charter 5-8
110,Texas Empowerment Academy Elementary School,"6414 North Hampton Drive, Austin, TX 78723",6,Public charter K-5
111,Kipp Austin Beacon Prep,"8509 Farm to Market 969, Austin, TX 78724",6,Public charter 5-8
112,Kipp Austin Comunidad,"8509 Farm to Market 969, Austin, TX 78724",6,Public charter PK-4
113,Austin Achieve Public Schools,"5908 Manor Road, Austin, TX 78723",6,Public charter 6-9
114,Webb Primary Center,"601 East Saint Johns Avenue, Austin, TX 78752",6,Public district PK-4
115,Joseph Gilbert Elementary School,"5412 Gilbert Road, Austin, TX 78724",6,Public district PK-5
116,Idea Allan Academy,"1701 Vargas Road, Austin, TX 78741",6,Public charter K-5
117,Texas Empowerment Academy,"3613 Bluestein Drive, Austin, TX 78721",5,Public charter 5-12
118,Blanton Elementary School,"5408 Westminster Drive, Austin, TX 78723",5,Public district PK-6
119,Brooke Elementary School,"3100 East 4th Street, Austin, TX 78702",5,Public district PK-5
120,Cook Elementary School,"1511 Cripple Creek Drive, Austin, TX 78758",5,Public district PK-5
121,Fulmore Middle School,"201 East Mary Street, Austin, TX 78704",5,Public district 6-8
122,Harris Elementary School,"1711 Wheless Lane, Austin, TX 78723",5,Public district PK-6
123,Joslin Elementary School,"4500 Manchaca Road, Austin, TX 78745",5,Public district PK-5
124,Linder Elementary School,"2800 Metcalfe Road, Austin, TX 78741",5,Public district 1-5
125,Pillow Elementary School,"3025 Crosscreek Drive, Austin, TX 78757",5,Public district PK-5
126,Sanchez Elementary School,"73 San Marcos Street, Austin, TX 78702",5,Public district PK-5
127,Covington Middle School,"3700 Convict Hill Road, Austin, TX 78749",5,Public district 6-8
128,Palm Elementary School,"7601 Dixie Drive, Austin, TX 78744",5,Public district PK-5
129,Hillcrest Elementary School,"6910 East William Cannon Drive, Austin, TX 78744",5,Public district PK-5
130,University Of Texas Elementary Charter School,"2200 East 6th Street, Austin, TX 78702",5,Public charter PK-5
131,River Oaks Elementary School,"12401 Scofield Farms Drive, Austin, TX 78758",5,Public district PK-5
132,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX 78753",5,Public district 9-12
133,Wells Branch Elementary School,"14650 Merrilltown Drive, Austin, TX 78728",5,Public district PK-5
134,Decker Elementary School,"8500 Decker Lane, Austin, TX 78724",5,Public district PK-5
135,Overton Elementary School,"7201 Colony Loop Drive, Austin, TX 78724",5,Public district PK-6
136,Pioneer Crossing Elementary School,"11300 Samsung Boulevard, Austin, TX 78754",5,Public district PK-5
137,Harmony School of Science - Austin,"11800 Stonehollow Dr. Suite 100, Austin, TX 78758",5,Public charter K-8
138,Kipp Austin Vista Middle Schools,"8509 Farm to Market 969, Austin, TX 78724",5,Public charter 5-8
139,Harmony School of Innovation,"2124 E. St. Elmo Rd., Austin, TX 78744",5,Public charter K-5
140,Idea Rundberg College Preparatory,"9504 North Interstate 35 Frontage Road, Austin, TX 78753",5,Public charter 6
141,Eden Park Academy,"6215 Manchaca Road, Austin, TX 78745",4,Public charter PK-6
142,Andrews Elementary School,"6801 Northeast Drive, Austin, TX 78723",4,Public district PK-5
143,Becker Elementary School,"906 West Milton Street, Austin, TX 78704",4,Public district PK-5
144,Bedichek Middle School,"6800 Bill Hughes Road, Austin, TX 78745",4,Public district 6-8
145,Brown Elementary School,"505 West Anderson Lane, Austin, TX 78752",4,Public district PK-6
146,Crockett High School,"5601 Manchaca Road, Austin, TX 78745",4,Public district 9-12
147,Cunningham Elementary School,"2200 Berkeley Avenue, Austin, TX 78745",4,Public district PK-5
148,Dawson Elementary School,"3001 South 1st Street, Austin, TX 78704",4,Public district PK-5
149,Houston Elementary School,"5409 Ponciana Drive, Austin, TX 78744",4,Public district PK-5
150,Lanier High School,"1201 Payton Gin Road, Austin, TX 78758",4,Public district 9-12
151,Maplewood Elementary School,"3808 Maplewood Avenue, Austin, TX 78722",4,Public district PK-6
152,Metz Elementary School,"84 Robert Martinez Junior Street, Austin, TX 78702",4,Public district PK-5
153,Sims Elementary School,"1203 Springdale Road, Austin, TX 78721",4,Public district PK-6
154,Wooldridge Elementary School,"1412 Norseman Terrace, Austin, TX 78758",4,Public district PK-5
155,Zavala Elementary School,"310 Robert Martinez Jr., Austin, TX 78702",4,Public district PK-6
156,Jordan Elementary School,"6711 Johnny Morris Road, Austin, TX 78724",4,Public district PK-6
157,Davis Elementary School,"5214 Duval Road, Austin, TX 78727",4,Public district PK-5
158,Langford Elementary School,"2206 Blue Meadow Drive, Austin, TX 78744",4,Public district PK-5
