,Unnamed: 0,school_name,address,score,district,grade,lat,long
317,317,Oliver Wendell Holmes Humanities/C,"2001 East Kiest Boulevard, Dallas, TX 75216",1.0,Public district,6-8,N/A,N/A
318,318,J W Ray Learning Center,"2211 Caddo Street, Dallas, TX 75204",1.0,Public district,PK-5,N/A,N/A
319,319,Focus Learning Academy,"2524 West Ledbetter Drive, Dallas, TX 75233",1.0,Public charter,PK-12,N/A,N/A
320,320,Austin Can Academy,"325 West 12th Street, Dallas, TX 75208",1.0,Public charter,9-12,N/A,N/A
321,321,Fort Worth Can Academy - Campus Dr,"325 West 12th Street, Dallas, TX 75208",1.0,Public charter,9-12,N/A,N/A
322,322,Fort Worth Can Academy - South,"325 West 12th Street, Dallas, TX 75208",1.0,Public charter,9-12,N/A,N/A
323,323,Houston Can Academy - North,"325 West 12th Street, Dallas, TX 75208",1.0,Public charter,9-12,N/A,N/A
324,324,Houston Can Academy - Hobby,"325 West 12th Street, Dallas, TX 75208",1.0,Public charter,9-12,N/A,N/A
325,325,San Antonio Can Academy,"325 West 12th Street, Dallas, TX 75208",1.0,Public charter,9-12,N/A,N/A
326,326,Dallas Can Academy - Grant East,"325 West 12th Street, Dallas, TX 75208",1.0,Public charter,9-12,N/A,N/A
327,327,Dallas Can Academy Charter,"4621 Ross Avenue, Dallas, TX 75204",,Public charter,9-12,N/A,N/A
328,328,Dallas Can Academy Charter-Oak Cli,"325 West 12th Street, Dallas, TX 75208",,Public charter,9-12,N/A,N/A
329,329,Hospital/Homebound,"912 South Ervay Street, Dallas, TX 75201",,Public district,PK-12,N/A,N/A
330,330,Rosemont Primary School-Chris V Semos,"1919 Stevens Forest Drive, Dallas, TX 75208",,Public district,PK-2,N/A,N/A
331,331,Maya Angelou High School,"4528 Rusk Avenue, Dallas, TX 75204",,Public district,5-12,N/A,N/A
332,332,The Westwood School,"14340 Proton Rd, Dallas, TX 75244",,Private,PK-12,N/A,N/A
333,333,Wesley Prep,"9200 Inwood Road, Dallas, TX 75220",,Private,PK-6,N/A,N/A
334,334,Dobie Primary School,"14040 Rolling Hills Lane, Dallas, TX 75240",,Public district,PK-K,N/A,N/A
335,335,Cornerstone Crossroads Academy,"Po Box 151062, Dallas, TX 75315",,Private,10-12,N/A,N/A
336,336,First Baptist Academy,"1606 Patterson St., Dallas, TX 75201",,Private,PK-12,N/A,N/A
337,337,St Thomas Aquinas Catholic School,"3741 Abrams Road, Dallas, TX 75214",,Private,PK-8,N/A,N/A
338,338,St Rita School,"12525 Inwood Road, Dallas, TX 75244",,Private,K-8,N/A,N/A
339,339,St Pius X Catholic School,"3030 Gus Thomasson Road, Dallas, TX 75228",,Private,K-8,N/A,N/A
340,340,St Philip The Apostle Catholic School,"8151 Military Parkway, Dallas, TX 75227",,Private,PK-8,N/A,N/A
341,341,St Patrick School,"9635 Ferndale Road, Dallas, TX 75238",,Private,PK-8,N/A,N/A
342,342,St. Monica Catholic School,"4140 Walnut Hill Lane, Dallas, TX 75229",,Private,PK-8,N/A,N/A
343,343,St Mary Of Carmel School,"1716 Singleton Boulevard, Dallas, TX 75212",,Private,PK-8,N/A,N/A
344,344,St Elizabeth Of Hungary Catholic School,"4019 South Hampton Road, Dallas, TX 75224",,Private,PK-8,N/A,N/A
345,345,St Cecilia Catholic School,"635 Mary Cliff Road, Dallas, TX 75208",,Private,PK-8,N/A,N/A
346,346,St Bernard Of Clairvaux School,"1420 Old Gate Lane, Dallas, TX 75218",,Private,PK-8 & ungraded,N/A,N/A
347,347,St Augustine Catholic School,"1064 North Saint Augustine Drive, Dallas, TX 75217",,Private,PK-8,N/A,N/A
348,348,St. Anthony Catholic School,"3732 Myrtle St, Dallas, TX 75215",,Private,PK-8,N/A,N/A
349,349,Our Lady of Perpetual Help School,"7625 Cortland Avenue, Dallas, TX 75235",,Private,1-8,N/A,N/A
350,350,Jesuit College Prep School,"12345 Inwood Road, Dallas, TX 75244",,Private,9-12,N/A,N/A
351,351,Holy Trinity Catholic School,"3815 Oak Lawn Avenue, Dallas, TX 75219",,Private,PK-8,N/A,N/A
352,352,Christ the King Elementary School,"4100 Colgate, Dallas, TX 75225",,Private,K-8,N/A,N/A
353,353,Bishop Lynch High School,"9750 Ferguson Road, Dallas, TX 75228",,Private,9-12,N/A,N/A
354,354,Bishop Dunne Catholic School,"3900 Rugged Drive, Dallas, TX 75224",,Private,6-12,N/A,N/A
355,355,St. James Episcopal School,"9845 McCree Road, Dallas, TX 75238",,Private,PK-4,N/A,N/A
356,356,Good Shepherd Episcopal School,"11110 Midway Road, Dallas, TX 75229",,Private,PK-8,N/A,N/A
357,357,Parish Episcopal School (Lower Campus),"14115 Hillcrest Road, Dallas, TX 75254",,Private,PK-2,N/A,N/A
358,358,Lakehill Preparatory,"2720 Hillside Dr, Dallas, TX 75214",,Private,K-12,N/A,N/A
359,359,Alcuin School,"6144 Churchill Way, Dallas, TX 75230",,Private,PK-12,N/A,N/A
360,360,Texas Torah Institute,"6506 Frankford Road, Dallas, TX 75252",,Private,9-12,N/A,N/A
361,361,Metropolitan Christian School,"8501 Bruton Road, Dallas, TX 75217",,Private,PK-12,N/A,N/A
362,362,Our Redeemer Lutheran School,"7611 Park Lane, Dallas, TX 75225",,Private,PK-6,N/A,N/A
363,363,Holy Cross Lutheran School,"11425 Marsh Ln, Dallas, TX 75229",,Private,PK-6,N/A,N/A
364,364,The Lamplighter School,"11611 Inwood Rd, Dallas, TX 75229",,Private,PK-4,N/A,N/A
365,365,Dallas Lutheran School,"8494 Stults Road, Dallas, TX 75243",,Private,7-12,N/A,N/A
366,366,Zion Lutheran School,"6121 East Lovers Lane, Dallas, TX 75214",,Private,PK-8,N/A,N/A
367,367,The Highlander Carden School,"9120 Plano Road, Dallas, TX 75238",,Private,PK-6,N/A,N/A
368,368,Akiba Academy of Dallas,"12324 Merit Drive, Dallas, TX 75251",,Private,PK-8,N/A,N/A
369,369,Arbor Acre Preparatory School,"8000 S Hampton Rd, Dallas, TX 75232",,Private,PK-8,N/A,N/A
370,370,Highland Park Presbyterian Day School,"3821 University Blvd, Dallas, TX 75205",,Private,PK-1,N/A,N/A
371,371,Preston Hollow Presbyterian School,"9800 Preston Road, Dallas, TX 75230",,Private,PK-6,N/A,N/A
372,372,Tyler Street Christian Academy,"915 W 9th St, Dallas, TX 75208",,Private,PK-12,N/A,N/A
373,373,White Rock Montessori School,"1601 Oates Drive, Dallas, TX 75228",,Private,PK-8,N/A,N/A
374,374,Calvary Lutheran School,"9807 Church Road, Dallas, TX 75238",,Private,PK-8,N/A,N/A
375,375,Southwest Adventist Junior Academy,"1600 Bonnie View Road, Dallas, TX 75203",,Private,PK-8,N/A,N/A
376,376,All Saints' Catholic School - Dallas,"7777 Osage Plaza Pkwy, Dallas, TX 75252",,Private,PK-8,N/A,N/A
377,377,Dallas Christian Academy,"4025 North Central Expressway, Dallas, TX 75204",,Private,K-12,N/A,N/A
378,378,Temple Christian School,"8421 Bohannon Dr, Dallas, TX 75217",,Private,PK-12,N/A,N/A
379,379,Dallas Academy,"950 Tiffany Way, Dallas, TX 75218",,Private,2-12,N/A,N/A
380,380,Ursuline Academy of Dallas,"4900 Walnut Hill Ln, Dallas, TX 75229",,Private,10-12,N/A,N/A
381,381,Ann & Nate Levine Academy,"18011 Hillcrest Rd, Dallas, TX 75252",,Private,PK-8,N/A,N/A
382,382,Scofield Christian School,"7730 Abrams Road, Dallas, TX 75231",,Private,PK-6,N/A,N/A
383,383,Shelton School,"15720 Hillcrest Road, Dallas, TX 75248",,Private,PK-12,N/A,N/A
