,school_name,address,score,district,grade,lat,long
52,Patton Elementary School,"6001 Westcreek Drive, Austin, TX 78749",8,Public district,PK-5,30.2317997,-97.8455255
53,Bowie High School,"4103 West Slaughter Lane, Austin, TX 78749",8,Public district,12-Sep,30.1876535,-97.8584973
54,Westlake High School,"4100 Westbank Drive, Austin, TX 78746",8,Public district,12-Sep,30.2756783,-97.8137323
55,Lake Travis Elementary School,"3322 Ranch Road 620 South, Austin, TX 78738",8,Public district,PK-5,30.3278393,-97.9653625
56,Pond Springs Elementary School,"7825 Elkhorn Mountain Trail, Austin, TX 78729",8,Public district,PK-5,30.4461527,-97.7642244
57,Bee Cave Elementary School,"14300 Hamilton Pool Rd, Austin, TX 78738",8,Public district,PK-5,30.3086635,-97.9687726
58,Guerrero Thompson,"102 East Rundberg Lane, Austin, TX 78753",8,Public district,PK-5,30.3638869,-97.6916658
59,Serene Hills Elementary School,"3322 Ranch Road 620 South, Austin, TX 78738",8,Public district,PK-5,30.3278393,-97.9653625
60,Harmony School of Political Science and Communication - Austin,"13415 North FM 620, Austin, TX 78717",8,Public charter,K-12,30.4728614,-97.7801655
61,Vandegrift High School,"9500 McNeil Drive, Austin, TX 78750",8,Public district,12-Sep,30.397078,-97.8241043
62,Four Points Middle School,"9700 McNeil Drive, Austin, TX 78750",8,Public district,8-Jun,30.3974994,-97.8292543
63,KIPP Austin Obras,"5107 South Interstate 35 Frontage Road, Austin, TX 78744",8,Public charter,K-4,30.2044092,-97.7584703
64,Allison Elementary School,"515 Vargas Road, Austin, TX 78741",7,Public district,PK-6,30.2359059,-97.691632
65,Austin High School,"1715 West Cesar Chavez Street, Austin, TX 78703",7,Public district,12-Sep,30.2735969,-97.7681386
66,Brentwood Elementary School,"6700 Arroyo Seco, Austin, TX 78757",7,Public district,PK-5,30.3400761,-97.7314123
67,Campbell Elementary School,"2613 Rogers Avenue, Austin, TX 78722",7,Public district,PK-5,30.282291,-97.713342
68,Mccallum High School,"5600 Sunshine Drive, Austin, TX 78756",7,Public district,12-Sep,30.3275632,-97.7288086
69,O Henry Middle School,"2610 West 10th Street, Austin, TX 78703",7,Public district,8-Jun,30.2854914,-97.7737553
70,Ortega Elementary School,"1135 Garland Avenue, Austin, TX 78721",7,Public district,PK-5,30.2699957,-97.6842797
71,Ridgetop Elementary School,"5005 Caswell Avenue, Austin, TX 78751",7,Public district,PK-5,30.3117933,-97.7163593
72,Wooten Elementary School,"1406 Dale Drive, Austin, TX 78757",7,Public district,PK-5,30.352928,-97.7191662
73,Kealing Middle School,"1607 Pennsylvania Avenue, Austin, TX 78702",7,Public district,8-Jun,30.270937,-97.721778
74,Boone Elementary School,"8101 Croftwood Drive, Austin, TX 78749",7,Public district,PK-5,30.2037581,-97.8400314
75,Hart Elementary School,"8301 Furness Drive, Austin, TX 78753",7,Public district,PK-5,30.3424507,-97.6887123
