,school_name,address,score,district,grade,lat,long
227,White Bird Montessori School,"9000 Manchaca Road, Austin, TX 78748",,Private,PK-K,30.1824402,-97.8193665
228,St Stephens Episcopal School,"6500 Saint Stephens Drive, Austin, TX 78746",,Private,12-Jun,30.3279309,-97.8188011
229,St. Andrew's Episcopal School,"1112 W 31st St, Austin, TX 78705",,Private,K-12,30.3024996,-97.7490212
230,St. Martin's Lutheran School,"606 W 15th St, Austin, TX 78701",,Private,PK-K,30.279092,-97.7453983
231,Redeemer Lutheran School,"1500 West Anderson Lane, Austin, TX 78757",,Private,PK-8,30.3524206,-97.7207811
232,Hope Lutheran School,"6414 N Hampton Dr, Austin, TX 78723",,Private,K-7,30.3145771,-97.6814543
233,St. Paul Lutheran School,"3407 Red River Street, Austin, TX 78705",,Private,PK-8,30.2932399,-97.7253114
234,Renaissance Academy,"14401 Owen-Tech Boulevard, Austin, TX 78728",,Private,PK-12,30.4349122,-97.6704568
235,Holy Word Christian Academy,"10601 Bluff Bend Drive, Austin, TX 78753",,Private,K-8,30.3684649,-97.6756851
236,All Saints' Episcopal School,"209 West 27th Street, Austin, TX 78705",,Private,PK-K,30.2916603,-97.7397036
237,The Oaks School,"1407 W Stassney Lane, Austin, TX 78745",,Private,12-Jun,30.2113495,-97.7926913
238,Austin Montessori School,"5006 Sunset Trail, Austin, TX 78745",,Private,PK-9,30.2276727,-97.8050501
239,Austin SDA Junior Academy,"301 W Anderson Ln, Austin, TX 78752",,Private,K-10,30.3443189,-97.7077674
240,Kirby Hall School,"306 W 29th St, Austin, TX 78705",,Private,PK-12,30.2945486,-97.7403416
241,Maranatha Christian Academy,"8210 S 1st Street, Austin, TX 78748",,Private,K-10,30.1807641,-97.7961988
242,St. Michael's Catholic Academy,"3000 Barton Creek Blvd, Austin, TX 78735",,Private,12-Sep,30.288775,-97.8747249
243,St. Theresas Catholic School,"4311 Small Drive, Austin, TX 78731",,Private,PK-8,30.342486,-97.774193
244,Bannockburn Christian Academy,"7100 Brodie Ln, Austin, TX 78745",,Private,PK-5,30.2123373,-97.8323962
245,The Children's School,"2825 Hancock Drive, Austin, TX 78731",,Private,PK-4,30.327788,-97.750492
246,Primavera Montessori School,"6405 Manchaca Rd., Austin, TX 78745",,Private,PK-4,30.2080078,-97.8047953
247,Our Savior Lutheran School,"1513 East Yager Lane, Austin, TX 78753",,Private,PK-5,30.386407,-97.6519775
248,Strickland School,"P.O. Box 150413, Austin, TX 78715",,Private,PK-8,30.21,-97.8
249,Austin Waldorf School,"8700 South View Road, Austin, TX 78737",,Private,K-12,30.2314147,-97.912796
250,Parkside Community School,"3702 W. Slaughter Lane , Austin, TX 78748",,Private,PK-6,30.1855877,-97.8535712
251,Austin Children's Montessori,"8807 Manchaca Road, Austin, TX 78748",,Private,PK-1,30.1836922,-97.8170433
252,Lake Hills Montessori Austin Campus,"600 Cuernavaca Drive North, Austin, TX 78733",,Private,PK-K,30.331038,-97.8701719
253,Hill Country Christian School,"12124 Ranch Rd 620 N, Austin, TX 78750",,Private,PK-12,30.4612628,-97.8191033
254,Bais Menachem Hebrew Academy,"2127 West Parmer Lane, Austin, TX 78727",,Private,PK-6,30.4165878,-97.698205
255,Paragon Prep School,"2001 West Koenig Lane, Austin, TX 78756",,Private,K-8,30.3335608,-97.7379314
256,Austin Jewish Academy,"7300 Hart Lane, Austin, TX 78731",,Private,K-8,30.358004,-97.7556394
257,Good Shepherd Episcopal School,"2206 Exposition Boulevard, Austin, TX 78703",,Private,PK-K,30.296466,-97.769123
258,The Isely School,"2301 Shoal Creek Boulevard, Austin, TX 78705",,Private,K-3,30.2868872,-97.752315
259,Montessori House Of Chldr,"1601 Brackenridge Street, Austin, TX 78704",,Private,PK,30.2470124,-97.7479201
260,The Montessori Center,"4108 Avenue H, Austin, TX 78751",,Private,PK-K,30.303618,-97.728186
261,Austin Village Academy,"4105 Manchaca Rd., Austin, TX 78704",,Private,K-9,30.2314038,-97.7869774
262,Hyde Park Baptist Elementary School,"3901 Speedway, Austin, TX 78751",,Private,K-5,30.3023809,-97.7317464
263,Hyde Park Baptist School,"3901 Speedway, Austin, TX 78751",,Private,K-12,30.3023809,-97.7317464
264,Huntington-Surrey High School,"5206 Balcones Drive, Austin, TX 78756",,Private,12-Aug,30.3351552,-97.760021
265,Holy Family Catholic School,"9400 Neenah Avenue, Austin, TX 78717",,Private,PK-8,30.489832,-97.760916
266,St Matthew's Episcopal School,"8134 Mesa Drive, Austin, TX 78759",,Private,PK-K,30.374622,-97.756452
267,Austin Peace Academy,"5110 Manor Road, Austin, TX 78723",,Private,PK-12,30.2996651,-97.6867751
268,Praise Christian Academy,"5800 E Martin Luther King Jr, Austin, TX 78721",,Private,PK-6,30.2877846,-97.6667609
269,St. Gabriel's Catholic School,"2500 Wimberly Ln, Austin, TX 78735",,Private,PK-8,30.2921931,-97.8728443
270,Brentwood Christian School,"11908 N Lamar Blvd, Austin, TX 78753",,Private,PK-12,30.3906252,-97.6825188
271,Settlement Home,"1600 Payton Gin Road, Austin, TX 78758",,Public charter,12-Jun,30.3651564,-97.7134103
272,Phoenix Academy,"400 West Live Oak Street, Austin, TX 78704",,Public district,12-Jun,30.2441451,-97.7561627
273,K12 International Academy,"1701 N. Congress Avenue, Austin, TX 78701",,Private,K-12,30.279167,-97.7379783
274,University High School,"2007 University Avenue, Austin, TX 78705",,Public charter,12-Sep,30.2833187,-97.7392735
275,North Austin Montessori School,"12400 Amherst Drive, Austin, TX 78727",,Private,PK-K,30.4213373,-97.7164791
276,George M Kometzky School,"8701 North Mopac Expressway, Austin, TX 78759",,Public charter,K-12,30.374687,-97.7386912
277,Texas School For The Blind,"1100 West 45th Street, Austin, TX 78756",,Public district,12-Jan,30.3149769,-97.7393206
278,University of Texas at Austin High School,"2901 N. IH35, Austin, TX 78722, Austin, TX 78713",,Public district,12-Sep,30.3000728,-97.7157896
279,Westlake Alternative School,"601 Camp Craft Road, Austin, TX 78746",,Public district,12-Sep,30.2779841,-97.8163667
280,Delco Primary School,"12900 Dessau Road, Austin, TX 78754",,Public district,PK-2,30.3979841,-97.6435785
281,Kamico Academy,"4413 Spicewood Springs Rd, Austin, TX 78759",,Private,K-6,30.373403,-97.7591507
282,Austin International School,"4001 Adelphi Lane, Austin, TX 78727",,Private,PK-5,30.4223361,-97.7182065
283,St Francis School,"300 East Huntland Drive, Austin, TX 78752",,Private,PK-8,30.331246,-97.7100609
284,Hawthorne Montessori School,"1414 Kramer Lane, Austin, TX 78758",,Private,PK-K,30.3834569,-97.6986767
285,Casa Montessori Child Development Center,"Po Box 1416, Austin, TX 78767",,Private,PK-K,30.2696037,-97.7399579
286,Trinity Episcopal School of AU,"3901 Bee Cave Road, Austin, TX 78746",,Private,K-8,30.2814718,-97.8087326
287,St George's Episcopal School,"4301 South Interstate 35 Frontage Road, Austin, TX 78744",,Private,PK,30.2116674,-97.753654
288,Headwaters School,"801 Rio Grande Street, Austin, TX 78701",,Private,PK-12,30.2719493,-97.7484175
289,Generation 2,"1610 Wheless Lane, Austin, TX 78723",,Private,PK,30.3193066,-97.6910953
290,International High School,"1012 Arthur Stiles Road, Austin, TX 78721",,Public district,12-Sep,30.2568301,-97.6820523
291,Gus Garcia Young Men's Leadership Academy,"7414 Johnny Morris Road, Austin, TX 78724",,Public district,8-Jun,30.3112256,-97.6431011
292,Acton Academy,"2201 Alexander Avenue, Austin, TX 78722",,Private,12-Feb,30.2848124,-97.709923
293,Austin St Hospital,"1111 West 6th Street, Austin, TX 78703",,Public district,PK-12,30.271564,-97.756538
294,Travis County State Jail,"8101 Farm to Market 969, Austin, TX 78724",,Public district,n/a,30.278333,-97.6418605
295,Jackie's Performing Arts & Private Education,"11530 Manchaca Road, Austin, TX 78748",,Private,PK-5,30.1523236,-97.8350853
296,Regents School Of Austin,"3230 Travis Country Circle, Austin, TX 78735",,Private,K-12,30.2544877,-97.845322
297,Greater Calvary Academy,"6510 Berkman Drive, Austin, TX 78723",,Private,K-6,30.3187422,-97.6901025
298,San Juan Diego Catholic High School,"800 Herndon Lane, Austin, TX 78704",,Private,12-Aug,30.2410091,-97.7630839
299,Shoreline Christian School,"15201 Burnet Road, Austin, TX 78728",,Private,PK-7,30.4585441,-97.6923991
300,St. James' Episcopal School,"1941 Webberville Road, Austin, TX 78721",,Private,PK-K,30.2826886,-97.6731332
301,Griffin School,"5001 Evans Ave., Austin, TX 78751",,Private,12-Sep,30.3128441,-97.7192501
302,Austin Children's Academy,"12310 Ranch Road 620 North, Austin, TX 78750",,Private,PK-K,30.4637628,-97.8137541
303,Girls' School Of Austin,"2007 McCall Road, Austin, TX 78703",,Private,K-8,30.2928554,-97.7633211
304,Read Pre-K Demonstration School,"2608 Richcreek Road, Austin, TX 78757",,Public district,PK,30.3525149,-97.7370076
305,Odyssey School,"4407 Red River Street, Austin, TX 78751",,Private,12-May,30.3040877,-97.7197794
306,The Keystone School,"1701 N. Congress Avenue, Austin, TX 78701",,Private,12-Jun,30.279167,-97.7379783
307,TNS Academy,"3901 Shoal Creek Blvd., Austin, TX 78756",,Private,K-5,30.3081556,-97.7472105
308,City School,"1844 Teri Rd, Austin, TX 78741",,Private,PK-6,30.2043482,-97.7545992
309,Capitol School Of Austin,"2011 West Koenig Lane, Austin, TX 78756",,Private,PK-4,30.3336895,-97.7390697
310,Casner Christian Academy,"3838 Steck Avenue, Austin, TX 78759",,Private,PK-1,30.3737008,-97.7499907
311,Mount Sinai Christian Academy,"5900 Cameron Road, Austin, TX 78723",,Private,PK,30.317058,-97.7010042
312,Boys Menachem Hebrew Academy,"7010 Village Center Dr, Austin, TX 78731",,Private,PK-8,30.352613,-97.7569299
313,Rawson Saunders,"2614A Exposition Boulevard, Austin, TX 78703",,Private,12-Jan,30.3021446,-97.7663357
314,Primrose School-Bee Cave,"3801 Juniper Trace, Austin, TX 78738",,Private,PK,30.3087274,-97.9355341
315,Hyde Park Baptist High School,"11400 North Mopac, Austin, TX 78759",,Private,"6, 9-12",30.4082333,-97.7317666
316,Brentwood Christian Secondary School,"11908 N Lamar Blvd, Austin, TX 78753",,Private,12-Oct,30.3906252,-97.6825188
317,St Paul Mornings W Jesus Child Care Center,"10000 David Moore Drive, Austin, TX 78748",,Private,PK,30.1662022,-97.8156748
318,Mcbee Extend A Care Dc,"Po Box 6340, Austin, TX 78762",,Private,PK-K,30.2616427,-97.7221996
319,Bethany Methodist Pre-School,"10010 Anderson Mill Road, Austin, TX 78750",,Private,PK,30.447793,-97.798919
320,Playtime Learning Center,"1006 E 50th St, Austin, TX 78751",,Private,PK,30.3095471,-97.711726
321,Ebenezer Head Start,"1010 East 10th Street, Austin, TX 78702",,Private,PK,30.2690496,-97.7307475
322,St Thomas Mother's Day Out,"10205 North FM 620, Austin, TX 78726",,Private,PK,30.4401174,-97.8335192
323,Woodland Montessori & Child Care Center,"9707 Anderson Mill Road #350, Austin, TX 78750",,Private,PK,30.4474937,-97.7937504
324,Mt Olive Lutheran Pre-School,"10408 U.S. 290, Austin, TX 78737",,Private,PK,30.2264501,-97.9481792
325,Peace Lutheran Pre-School,"10625 N Fm 620, Austin, TX 78726",,Private,PK-K,30.4456808,-97.831311
326,Happy Faces Day Care,"10713 F M 620 N, Austin, TX 78726",,Private,PK,30.4467957,-97.8308705
327,Priscilla Pond Flawn Cc,"1 Univ Station , Austin, TX 78712",,Private,PK,30.2850357,-97.7288552
328,Mainspring Schools,"1100 W Live Oak, Austin, TX 78704",,Private,PK,30.2470856,-97.7648615
329,Main Spring Schools,"1100 West Live Oak Street, Austin, TX 78704",,Private,PK,30.2470856,-97.7648615
330,Children's Courtyard Child Care Center,"11012 Harris Branch Parkway, Austin, TX 78754",,Private,PK,30.3444093,-97.6143205
331,Kiddie Korner Day Care Center,"1110 Tillery Street, Austin, TX 78702",,Private,PK,30.2658334,-97.702655
332,Matteson Group Day Care Home,"11106 Spicewood Club Dr, Austin, TX 78750",,Private,PK,30.4389345,-97.8064925
333,Aisd Child Development Center Crockett,"1111 West 6th Street, Austin, TX 78703",,Private,PK,30.271564,-97.756538
334,Westoaks Woods Bapt Ch Pre-School,"2900 West Slaughter Lane, Austin, TX 78748",,Private,PK,30.180423,-97.839866
335,Happy Faces Bilingual Cc,"1115 East Saint Johns Avenue, Austin, TX 78752",,Private,PK,30.328318,-97.6951024
336,Graham Extend A Care Head Start,"Po Box 6340, Austin, TX 78762",,Private,PK,30.2616427,-97.7221996
337,Braker Lane Christian Learning,"11300 Hunters Lane, Austin, TX 78753",,Private,PK,30.3800539,-97.6826978
338,Hope Presbyterian Children's Center,"11512 Olson Drive, Austin, TX 78750",,Private,PK,30.4453339,-97.8062206
339,Jackies Dance & Gymnastics Dc,"11530 Manchaca Road, Austin, TX 78748",,Private,PK,30.1523236,-97.8350853
340,Crosstimber Childrens Home,"11603 Crosstimber Dr, Austin, TX 78750",,Private,PK,30.44758,-97.809194
341,Beaverbrook Children's Center,"11726 Jollyville Rd, Austin, TX 78759",,Private,PK,30.4193988,-97.7529467
342,Abc Child Development Center,"Millwright Parkway, Austin, TX 78750",,Private,PK,30.4518119,-97.8028254
343,Scooters Learning Center,"1182 Navasota Street, Austin, TX 78702",,Private,PK,30.2714194,-97.727769
344,First Foundations Pre-School,"11902 Anderson Mill Road, Austin, TX 78726",,Private,PK,30.4568171,-97.8259319
345,First United Methodist Pre-School,"1201 Lavaca Street, Austin, TX 78701",,Private,PK,30.2750147,-97.7427364
346,El Buen Pastor Development Center,"1208 Willow Street, Austin, TX 78702",,Private,PK-K,30.2591294,-97.7322267
347,Kids Kare,"12200 Mopac, Austin, TX 78758",,Private,PK,30.4143534,-97.70783
348,Extend A Care-Summitt,"Po Box 6340, Austin, TX 78762",,Private,PK,30.2616427,-97.7221996
349,Children's Network,"12223 Cassady Drive, Austin, TX 78727",,Private,PK,30.4210589,-97.7184376
350,Noah's Ark Learning Center,"1224 Jordan's Crossing, Austin, TX 78753",,Private,PK,30.3061122,-97.7080261
351,Elochka Child Development Center,"12251 Running Bird Lane, Austin, TX 78758",,Private,PK,N/A,N/A
352,Joy Of Learning Center,"Po Box 82373, Austin, TX 78708",,Private,PK,30.3911673,-97.7051165
353,Children's Courtyard Child Care Center,"12336 North Mo-pac Expressway, Austin, TX 78758",,Private,PK,N/A,N/A
354,Buttons N Bows Gdh,"12405 Mossy Bark Trail, Austin, TX 78750",,Private,PK,N/A,N/A
355,Vip Pre-School,"12507 Cortaro Cove, Austin, TX 78729",,Private,PK,30.4429006,-97.7653117
356,Delco Primary YMCA,"12900 Dessau Rd, Austin, TX 78754",,Private,PK,N/A,N/A
357,True Light Day Care,"1300 Fort Branch Blvd, Austin, TX 78721",,Private,PK,30.2767363,-97.6804519
358,Discovery Years,"1303 West Slaughter Lane, Austin, TX 78748",,Private,PK-K,30.1735126,-97.8158679
359,St Luke Infant Care Center,"1306 West Lynn Street, Austin, TX 78703",,Private,PK,30.2813612,-97.7589042
360,Stepping Stone Xi-Seton,"1313 Red River Street, Austin, TX 78701",,Private,PK,30.274291,-97.7346555
361,Faith Presbyterian Child Care,"1314 East Oltorf Street, Austin, TX 78704",,Private,PK,30.2348697,-97.74264
362,West Austin Youth Cdc,"Po Box 50198, Austin, TX 78763",,Private,PK,30.3,-97.77
363,Alpha Omega Early Edu Development Center,"1317 Rosewood Avenue, Austin, TX 78702",,Private,PK,30.2685703,-97.7248511
364,Kid Space Day Care,"13376 North Highway 183 #112, Austin, TX 78750",,Private,PK,30.4448252,-97.7891893
365,Faith Montesssori Child Care Center,"13524 Albania Way, Austin, TX 78729",,Private,PK,30.459921,-97.755622
366,Extend A Care Dc-Hornsby,"13901 Farm-to-Market 969, Austin, TX 78724",,Private,PK,30.2478695,-97.5876121
367,Petite Ecole Internationale,"4520 Burnet Rd, Austin, TX 78756",,Private,PK,30.3163103,-97.7413032
368,United Methodist Pre-School,"1502 Ranch to Market 620, Austin, TX 78734",,Private,PK,30.3490695,-97.9653583
369,Promiseland Learning School,"1504 East 51st Street, Austin, TX 78723",,Private,PK,30.3061411,-97.7015716
370,Rosewood Oaks Primary,"1507 Lavaca Street, Austin, TX 78701",,Private,PK,30.2782783,-97.7413709
371,Kids R Kids 33 Day Care,"15111 Avery Ranch Boulevard, Austin, TX 78717",,Private,PK,30.4985477,-97.7722066
372,Shoreline Christian School,"15201 Burnet Road, Austin, TX 78728",,Private,PK,30.4585441,-97.6923991
373,A Step Ahead Childcare & Lc,"12041 Dessau Road #1009, Austin, TX 78754",,Private,PK,30.3807336,-97.6517927
374,Green Hills Child Care Center,"15409 Fm 620 N, Austin, TX 78717",,Private,PK,30.4832551,-97.7376695
375,Jazz & Gym Day Care,"15506 Clara Van St, Austin, TX 78734",,Private,PK,30.366474,-97.952968
376,Acc-Garza Child Development,"1600 Chicon Street, Austin, TX 78702",,Private,PK,30.2773093,-97.7211962
377,Ymca Day Care-Saill,"1611 Headway Circle, Austin, TX 78754",,Private,PK,30.333626,-97.6815834
378,Live Oak Community Montessori,"16201 Pool Canyon Rd, Austin, TX 78734",,Private,PK,30.419994,-97.9290238
379,Growing Imaginations Lc,"1711 Fortview Road, Austin, TX 78704",,Private,PK,30.2294549,-97.7849311
380,Infant-Parent Program-Eci,"1717 West 10th Street, Austin, TX 78703",,Private,PK,30.2792314,-97.7625813
381,Open Door Central Pre-School,"1717 West 10th Street, Austin, TX 78703",,Private,PK,30.2792314,-97.7625813
382,Austins Imagination Station Lc,"1805 Camas Drive, Austin, TX 78728",,Private,PK,30.4429935,-97.6714148
383,Children's World Learning Center 599,"1921 Cedar Bend Drive, Austin, TX 78758",,Private,PK,30.4078882,-97.6981643
384,House Of Little Angels,"735 Turtle Creek Boulevard, Austin, TX 78745",,Private,PK,30.2031007,-97.7853266
385,Advantage Preparatory School,"1908 Chicon St, Austin, TX 78722",,Private,PK,N/A,N/A
386,Gethsemane Lutheran Child Care,"200 West Anderson Lane, Austin, TX 78752",,Private,PK,30.3453059,-97.7056807
387,Baptist Community Center,"2000 East 2nd Street, Austin, TX 78702",,Private,PK,30.2577972,-97.7229077
388,Stepping Stone 5 Day Care,"1910 Justin Lane, Austin, TX 78757",,Private,PK,30.3442155,-97.7333002
389,Travis Hts Extend A Day Care,"2010 Alameda Drive, Austin, TX 78704",,Private,PK,30.2415692,-97.7459465
390,Capital School of Austin,"2011 W Koenig Ln, Austin, TX 78756",,Private,PK,30.3336895,-97.7390697
391,Escuela Montessori De Montopol,"2013 Montopolis Drive, Austin, TX 78741",,Private,PK,30.223941,-97.7031053
392,Little Dude's Learning Center,"Po Box 18027, Austin, TX 78760",,Private,PK,30.214026,-97.7342611
393,Southside Day Care,"208 E Live Oak St, Austin, TX 78704",,Private,PK,30.2412999,-97.751025
394,Extend A Care-Baty,"2101 Faro Drive, Austin, TX 78741",,Private,PK,30.2270684,-97.7128148
395,University Baptist Child Development Center,"2107 San Antonio St, Austin, TX 78705",,Private,PK,30.2846417,-97.7425475
396,Park Bend Health Child Care Center,"2122 Park Bend Dr, Austin, TX 78758",,Private,PK,30.4090781,-97.7024652
397,St Mark's Episcopal Day School,"2128 Barton Hills Drive, Austin, TX 78704",,Private,PK,30.2534746,-97.7857444
398,Escuelita Del Alma Learning Center,"3109 North Interstate Highway 35, Austin, TX 78722",,Private,PK,30.2892974,-97.7225165
399,Lakeway Church Christian Pre-School,"2203 Lakeway Boulevard, Austin, TX 78734",,Private,PK,30.3568476,-97.9809511
400,University Of Texas Cdc,"2205 Comal Street, Austin, TX 78722",,Private,PK,30.2829016,-97.7252424
401,Langford Extend A Care Dc,"2206 Blue Meadow Drive, Austin, TX 78744",,Private,PK,30.1820835,-97.7633689
402,All Austin Coop Nursery School,"2301 Hancock Drive, Austin, TX 78756",,Private,PK,30.3241786,-97.7430581
403,Berkeley Methodist Child Care,"2407 Berkeley Avenue, Austin, TX 78745",,Private,PK,30.2095354,-97.8084882
404,Uumc Early Childhood Center,"2409 Guadalupe Street, Austin, TX 78705",,Private,PK,30.2881122,-97.7411171
405,Sammys House Child Development Center,"2415 Twin Oaks Drive, Austin, TX 78757",,Private,PK,30.3419726,-97.7400827
406,First Class Child Devt Center,"2505 Lark Glen Lane, Austin, TX 78748",,Private,PK,30.1560238,-97.8436155
407,South Austin Head Start,"2508 Durwood Street, Austin, TX 78704",,Private,PK,30.2392406,-97.7600906
408,Kid's Are First,"2515 and 2517 Enfield Rd, Austin, TX 78703",,Private,PK,30.2895708,-97.7711185
409,Childs Day,"2525 Wallingwood Drive #100, Austin, TX 78746",,Private,PK,30.2636575,-97.7841224
410,New Generation Day Care,"2600 South 1st Street, Austin, TX 78704",,Private,PK,30.2391582,-97.7618042
411,Tarrytown Baptist Pre-School,"2601 Exposition Blvd, Austin, TX 78703",,Private,PK,30.3006217,-97.7651223
412,Esther's Day Care,"2601 Rogge Ln, Austin, TX 78723",,Private,PK,30.3053836,-97.6836826
413,Extend A Care-Campbell,"Po Box 6340, Austin, TX 78762",,Private,PK,30.2616427,-97.7221996
414,Faith United Methodist Pre-School,"2701 South Lamar Boulevard, Austin, TX 78704",,Private,PK,30.2442717,-97.7797195
415,Harte-Hanks Child Care,"2800 Wells Branch Parkway, Austin, TX 78728",,Private,PK,30.4426901,-97.689337
416,Habibi's Hutch Natural Child,"2004 Bert Avenue, Austin, TX 78704",,Private,PK,30.2333798,-97.7867599
417,First English Luth Child Center,"3001 Whitis Avenue, Austin, TX 78705",,Private,PK,30.2954342,-97.738868
418,Covenant Cooperative Pre-School,"3003 Northland Drive, Austin, TX 78757",,Private,PK,30.3347544,-97.7525447
419,Soraya's Child Care,"3012 Portola Court, Austin, TX 78738",,Private,PK,30.3106416,-97.9234345
420,St David's Episcopal Day Schoo,"301 East 8th Street, Austin, TX 78701",,Private,PK-K,30.2685025,-97.739164
421,Sunshine Learning Center,"7202 Dee Street, Austin, TX 78745",,Private,PK,30.1938443,-97.7954525
422,Star Montessori,"3101 Howard Lane, Austin, TX 78728",,Private,PK,30.438451,-97.695051
423,Westminster Presbyterian Day School,"3208 Exposition Boulevard, Austin, TX 78703",,Private,PK,30.308125,-97.763235
424,Eanes Child Development Center,"3301 Pinnacle Road, Austin, TX 78746",,Private,PK,30.2691605,-97.8048688
425,Austin Community College Child,"5930 Middle Fiskville Road, Austin, TX 78752",,Private,PK,30.3227247,-97.7125329
426,Butterfly Christian Pre-School,"3525 Bee Caves Road, Austin, TX 78746",,Private,PK,30.276167,-97.805407
427,St James Episcopal School,"1941 Webberville Road, Austin, TX 78721",,Private,PK-K,30.2826886,-97.6731332
428,Bethany Lutheran Pre-School,"3701 West Slaughter Lane, Austin, TX 78749",,Private,PK,30.1848942,-97.8548651
429,Town and Country Montessori,"3801 Keats Dr, Austin, TX 78704",,Private,PK,30.2361939,-97.7867372
430,Town & Country Children's Mont,"3801 Keats Drive, Austin, TX 78704",,Private,PK-K,30.2361939,-97.7867372
431,Future Stars Child Development Center,"3819 S Interstate 35, Austin, TX 78741",,Private,PK,30.2194416,-97.7489257
432,Starbright Pre-School,"3900 Valley View Road, Austin, TX 78704",,Private,PK,30.2335915,-97.7836637
433,Mrs Bolins Day Care,"3901 Peak Lookout Drive, Austin, TX 78738",,Private,PK,30.3271833,-97.9749481
434,Child Development Center,"3901 Shoal Creek Boulevard, Austin, TX 78756",,Private,PK,30.3081556,-97.7472105
435,Aisd-Barrington Child Care Center,"400 Cooper Drive, Austin, TX 78753",,Private,PK,30.3605079,-97.6966524
436,Roz-Mina Montessori,"4001 Manchaca Road, Austin, TX 78704",,Private,PK,30.233487,-97.785357
437,Elsass Academy-Westlake,"4015 Bee Caves Road, Austin, TX 78746",,Private,PK,30.281883,-97.810155
438,Extend A Care-Reilly,"405 Denson Drive, Austin, TX 78752",,Private,PK,30.3279913,-97.7200233
439,St John's Lutheran Child Care,"409 West Ben White Boulevard, Austin, TX 78704",,Private,PK,30.2244494,-97.7678822
440,Casa Montessori Child Development,"40b Atlantic Street, Austin, TX 78703",,Private,PK,30.3692541,-97.9953988
441,Extend A Care-Norman,"4101 Tannehill Lane, Austin, TX 78721",,Private,PK,30.2821828,-97.6721104
442,Children's Discovery Center,"4112 Duval Street, Austin, TX 78751",,Private,PK-K,30.3034736,-97.7272086
443,Riverbend Christian School Cdc,"4214 North Capital of Texas Highway, Austin, TX 78746",,Private,PK,30.3418005,-97.8040886
444,Childrens Center -Austin,"4308 North Quinlan Park Road #100, Austin, TX 78732",,Private,PK,30.3832492,-97.8843652
445,Convenant United Methodist,"4410 Duval Road, Austin, TX 78727",,Private,PK,30.4135831,-97.7320614
446,Woodlawn Baptist Child Development Center,"4600 Manchaca Rd, Austin, TX 78745",,Private,PK,30.2270265,-97.7911851
447,Appletree Learning Center,"4630 West Gate Boulevard, Austin, TX 78745",,Private,PK,30.2298788,-97.8014073
448,Stepping Stone Pre-School Xvii,"4900 Mueller Boulevard, Austin, TX 78723",,Private,PK,30.303579,-97.7071973
449,Little Dudes-Maufrais,"Po Box 18027, Austin, TX 78760",,Private,PK,30.214026,-97.7342611
450,Ofelia's Day Care Center,"5003 Allyson Court, Austin, TX 78744",,Private,PK,30.1985602,-97.7449072
451,Little People Development Center,"5006 Crestmont Drive, Austin, TX 78756",,Private,PK,30.3231782,-97.742034
452,Dessau's Little Feet Child Care Center,"508 E Howard Ln, Austin, TX 78753",,Private,PK,30.4175182,-97.6511544
453,Lil Darling's South Day Care,"510 Clarke St, Austin, TX 78745",,Private,PK,30.2255972,-97.7693863
454,Lala's Day Care,"510 Powell Circle, Austin, TX 78704",,Private,PK,30.235099,-97.7629487
455,Marywood Child Development Center,"510 W 26th St, Austin, TX 78705",,Private,PK,30.2909302,-97.7424271
456,Child Inc Dove Springs Eec,"5106 Village Square Drive, Austin, TX 78744",,Private,PK,30.1886755,-97.7430555
457,Light of the World Child Development Center,"519 Thompson Ln, Austin, TX 78742",,Private,PK,30.2372272,-97.6849374
458,Shephard Hills Presbyterian Pre-School,"5226 West William Cannon Drive, Austin, TX 78749",,Private,PK,30.2249339,-97.8530658
459,Houston Extend A Care Dc,"5409 Ponciana Drive, Austin, TX 78744",,Private,PK,30.1964677,-97.7550709
460,Widen-Extend-A Care,"Po Box 6340, Austin, TX 78762",,Private,PK,30.2616427,-97.7221996
461,Barton Creek Child Development Center,"5805 Travis Cook Road, Austin, TX 78735",,Private,PK,30.2567623,-97.8894723
462,Barton Creek Child Development Center,"5611 Travis Cook Rd, Austin, TX 78735",,Private,PK,30.2577819,-97.8883871
463,Little Red Schoolhouse,"5621 Emerald Forest Dr, Austin, TX 78745",,Private,PK,30.2097794,-97.7872714
464,Little Folk's Nursery,"Po Box 141665, Austin, TX 78714",,Private,PK,30.2974509,-97.7670172
465,Happy Kids Day Care,"5709 Manor Road, Austin, TX 78723",,Private,PK,30.3052895,-97.6804297
466,Trinity Presbyterian Child Development Center,"5801 Westminster Drive, Austin, TX 78723",,Private,PK,30.3122573,-97.6904167
467,Skybridge Academy,"13317 Fitzhugh Rd, Austin, TX 78736",,Private,12-Jun,30.2316408,-98.0011837
468,Little Blessings Day Care Center,"5804 Brook Valley Drive, Austin, TX 78724",,Private,PK,30.3069164,-97.6533221
469,Coburn's Family Day Care,"5805 Sierra Madre, Austin, TX 78759",,Private,PK,30.4185281,-97.7546468
470,Children's Courtyard Child Care Center,"5914 West William Cannon Drive, Austin, TX 78749",,Private,PK,30.2289428,-97.8615648
471,Circle C Child Development Center,"5917 La Crosse Avenue, Austin, TX 78739",,Private,PK,30.1925396,-97.884473
472,Lake Hills Montessori,"600 Cuernavaca Drive North, Austin, TX 78733",,Private,PK-K,30.331038,-97.8701719
473,Little Angel's Day Care,"6006 Cameron Road, Austin, TX 78723",,Private,PK,30.3178086,-97.6994755
